"","id","start","end","duration","sound.files","selec","note_label","Bird.ID","Song_ID","Clutch","Subtutor","notelab2"
"1",2328771,0.39436,0.48955,95.19,"JS0002-20110427-001.wav",1,"Curve","JS0002","JS0002-001","I",NA,"A"
"2",2328772,0.58291,0.692,109.09,"JS0002-20110427-001.wav",2,"Slope","JS0002","JS0002-001","I",NA,"B"
"3",2328773,1.09845,1.222,123.55,"JS0002-20110427-001.wav",3,"Slope","JS0002","JS0002-001","I",NA,"B"
"4",2328774,1.36636,1.45155,85.19,"JS0002-20110427-001.wav",4,"Curve","JS0002","JS0002-001","I",NA,"A"
"5",2328775,1.50681,1.65164,144.83,"JS0002-20110427-001.wav",5,"Slope","JS0002","JS0002-001","I",NA,"B"
"6",2328776,1.70445,1.8,95.55,"JS0002-20110427-001.wav",6,"Curve","JS0002","JS0002-001","I",NA,"A"
"7",2328777,1.84991,2.02591,176,"JS0002-20110427-001.wav",7,"Slope","JS0002","JS0002-001","I",NA,"B"
"8",2328778,2.13236,2.222,89.64,"JS0002-20110427-001.wav",8,"Curve","JS0002","JS0002-001","I",NA,"A"
"9",2328779,2.28081,2.466,185.19,"JS0002-20110427-001.wav",9,"Slope","JS0002","JS0002-001","I",NA,"B"
"10",2328780,2.56636,2.729,162.64,"JS0002-20110427-001.wav",10,"Slope","JS0002","JS0002-001","I",NA,"B"
"11",2328781,2.86726,2.947,79.74,"JS0002-20110427-001.wav",11,"Curve","JS0002","JS0002-001","I",NA,"A"
"12",2328782,3.017,3.162,145,"JS0002-20110427-001.wav",12,"Slope","JS0002","JS0002-001","I",NA,"B"
"13",2328783,3.21291,3.298,85.09,"JS0002-20110427-001.wav",13,"Curve","JS0002","JS0002-001","I",NA,"A"
"14",2328784,3.35236,3.50019,147.83,"JS0002-20110427-001.wav",14,"Slope","JS0002","JS0002-001","I",NA,"B"
"15",2328785,3.55736,3.647,89.64,"JS0002-20110427-001.wav",15,"Curve","JS0002","JS0002-001","I",NA,"A"
"16",2328786,3.69781,3.87509,177.28,"JS0002-20110427-001.wav",16,"Slope","JS0002","JS0002-001","I",NA,"B"
"17",2328787,4.05336,4.19255,139.19,"JS0002-20110427-001.wav",17,"Slope","JS0002","JS0002-001","I",NA,"B"
"18",2328788,0.26336,0.355,91.64,"JS0002-20110427-002.wav",1,"Curve","JS0002","JS0002-002","I",NA,"A"
"19",2328789,0.70935,0.78464,75.29,"JS0002-20110427-002.wav",2,"Slope","JS0002","JS0002-002","I",NA,"B"
"20",2328790,1.065,1.197,132,"JS0002-20110427-002.wav",3,"Slope","JS0002","JS0002-002","I",NA,"B"
"21",2328791,1.35536,1.496,140.64,"JS0002-20110427-002.wav",4,"Slope","JS0002","JS0002-002","I",NA,"B"
"22",2328792,1.59845,1.68329,84.84,"JS0002-20110427-002.wav",5,"Curve","JS0002","JS0002-002","I",NA,"A"
"23",2328793,1.7509,1.828,77.1,"JS0002-20110427-002.wav",6,"Curve","JS0002","JS0002-002","I",NA,"A"
"24",2328794,1.88536,2.017,131.64,"JS0002-20110427-002.wav",7,"Slope","JS0002","JS0002-002","I",NA,"B"
"25",2328795,2.0829,2.16855,85.65,"JS0002-20110427-002.wav",8,"Curve","JS0002","JS0002-002","I",NA,"A"
"26",2328796,2.21481,2.4,185.19,"JS0002-20110427-002.wav",9,"Slope","JS0002","JS0002-002","I",NA,"B"
"27",2328797,2.51736,2.601,83.64,"JS0002-20110427-002.wav",10,"Curve","JS0002","JS0002-002","I",NA,"A"
"28",2328798,2.66036,2.832,171.64,"JS0002-20110427-002.wav",11,"Slope","JS0002","JS0002-002","I",NA,"B"
"29",2328799,2.91936,3.06829,148.93,"JS0002-20110427-002.wav",12,"Slope","JS0002","JS0002-002","I",NA,"B"
"30",2328800,3.20536,3.335,129.64,"JS0002-20110427-002.wav",13,"Slope","JS0002","JS0002-002","I",NA,"B"
"31",2328801,3.38936,3.45919,69.83,"JS0002-20110427-002.wav",14,"Stack","JS0002","JS0002-002","I",NA,"E"
"32",2328802,3.491,3.576,85,"JS0002-20110427-002.wav",15,"Curve","JS0002","JS0002-002","I",NA,"A"
"33",2328803,3.6279,3.807,179.1,"JS0002-20110427-002.wav",16,"Slope","JS0002","JS0002-002","I",NA,"B"
"34",2328804,3.9459,4.028,82.1,"JS0002-20110427-002.wav",17,"Curve","JS0002","JS0002-002","I",NA,"A"
"35",2328805,4.09981,4.243,143.19,"JS0002-20110427-002.wav",18,"Slope","JS0002","JS0002-002","I",NA,"B"
"36",2328806,4.3009,4.385,84.1,"JS0002-20110427-002.wav",19,"Curve","JS0002","JS0002-002","I",NA,"A"
"37",2328807,4.44081,4.5871,146.29,"JS0002-20110427-002.wav",20,"Slope","JS0002","JS0002-002","I",NA,"B"
"38",2328808,4.64836,4.732,83.64,"JS0002-20110427-002.wav",21,"Curve","JS0002","JS0002-002","I",NA,"A"
"39",2328809,4.79345,4.95,156.55,"JS0002-20110427-002.wav",22,"Slope","JS0002","JS0002-002","I",NA,"B"
"40",2328810,5.01136,5.099,87.64,"JS0002-20110427-002.wav",23,"Curve","JS0002","JS0002-002","I",NA,"A"
"41",2328811,5.15636,5.364,207.64,"JS0002-20110427-002.wav",24,"Slope","JS0002","JS0002-002","I",NA,"B"
"42",2328812,5.52381,5.657,133.19,"JS0002-20110427-002.wav",25,"Slope","JS0002","JS0002-002","I",NA,"B"
"43",2328813,5.82381,5.914,90.19,"JS0002-20110427-002.wav",26,"Curve","JS0002","JS0002-002","I",NA,"A"
"44",2328814,5.96781,6.156,188.19,"JS0002-20110427-002.wav",27,"Slope","JS0002","JS0002-002","I",NA,"B"
"45",2328815,6.40045,6.54,139.55,"JS0002-20110427-002.wav",28,"Slope","JS0002","JS0002-002","I",NA,"B"
"46",2328816,0.25191,0.38719,135.28,"JS0002-20110427-003.wav",1,"Slope","JS0002","JS0002-003","I",NA,"B"
"47",2328817,0.73291,0.86183,128.92,"JS0002-20110427-003.wav",2,"Slope","JS0002","JS0002-003","I",NA,"B"
"48",2328818,1.08436,1.22609,141.73,"JS0002-20110427-003.wav",3,"Slope","JS0002","JS0002-003","I",NA,"B"
"49",2328819,1.37836,1.52109,142.73,"JS0002-20110427-003.wav",4,"Slope","JS0002","JS0002-003","I",NA,"B"
"50",2328820,1.61436,1.69855,84.19,"JS0002-20110427-003.wav",5,"Curve","JS0002","JS0002-003","I",NA,"A"
"51",2328821,1.77945,1.87026,90.81,"JS0002-20110427-003.wav",6,"Curve","JS0002","JS0002-003","I",NA,"A"
"52",2328822,1.94636,2.037,90.64,"JS0002-20110427-003.wav",7,"Curve","JS0002","JS0002-003","I",NA,"A"
"53",2328823,2.09591,2.24964,153.73,"JS0002-20110427-003.wav",8,"Slope","JS0002","JS0002-003","I",NA,"B"
"54",2328824,2.31491,2.397,82.09,"JS0002-20110427-003.wav",9,"Curve","JS0002","JS0002-003","I",NA,"A"
"55",2328825,2.45181,2.64309,191.28,"JS0002-20110427-003.wav",10,"Slope","JS0002","JS0002-003","I",NA,"B"
"56",2328826,2.72891,2.82,91.09,"JS0002-20110427-003.wav",11,"Curve","JS0002","JS0002-003","I",NA,"A"
"57",2328827,2.88391,3.06226,178.35,"JS0002-20110427-003.wav",12,"Slope","JS0002","JS0002-003","I",NA,"B"
"58",2328828,3.18691,3.33455,147.64,"JS0002-20110427-003.wav",13,"Slope","JS0002","JS0002-003","I",NA,"B"
"59",2328829,3.48891,3.58155,92.64,"JS0002-20110427-003.wav",14,"Curve","JS0002","JS0002-003","I",NA,"A"
"60",2328830,3.6349,3.78764,152.74,"JS0002-20110427-003.wav",15,"Slope","JS0002","JS0002-003","I",NA,"B"
"61",2328831,3.84591,3.94155,95.64,"JS0002-20110427-003.wav",16,"Curve","JS0002","JS0002-003","I",NA,"A"
"62",2328832,3.98836,4.14474,156.38,"JS0002-20110427-003.wav",17,"Slope","JS0002","JS0002-003","I",NA,"B"
"63",2328833,4.20345,4.296,92.55,"JS0002-20110427-003.wav",18,"Curve","JS0002","JS0002-003","I",NA,"A"
"64",2328834,4.33536,4.52109,185.73,"JS0002-20110427-003.wav",19,"Slope","JS0002","JS0002-003","I",NA,"B"
"65",2328835,4.70036,4.84338,143.02,"JS0002-20110427-003.wav",20,"Slope","JS0002","JS0002-003","I",NA,"B"
"66",2328836,0.42559,0.5723,146.71,"JS0002-20110427-004.wav",1,"Slope","JS0002","JS0002-004","I",NA,"B"
"67",2328837,1.10683,1.23466,127.83,"JS0002-20110427-004.wav",2,"Slope","JS0002","JS0002-004","I",NA,"B"
"68",2328838,1.53098,1.65444,123.46,"JS0002-20110427-004.wav",3,"Slope","JS0002","JS0002-004","I",NA,"B"
"69",2328839,1.83165,1.96674,135.09,"JS0002-20110427-004.wav",4,"Slope","JS0002","JS0002-004","I",NA,"B"
"70",2328840,2.11199,2.24272,130.73,"JS0002-20110427-004.wav",5,"Slope","JS0002","JS0002-004","I",NA,"B"
"71",2328841,2.30373,2.40105,97.32,"JS0002-20110427-004.wav",6,"Curve","JS0002","JS0002-004","I",NA,"A"
"72",2328842,2.433,2.56083,127.83,"JS0002-20110427-004.wav",7,"Slope","JS0002","JS0002-004","I",NA,"B"
"73",2328843,2.64652,2.72206,75.54,"JS0002-20110427-004.wav",8,"Curve","JS0002","JS0002-004","I",NA,"A"
"74",2328844,2.78887,2.95737,168.5,"JS0002-20110427-004.wav",9,"Slope","JS0002","JS0002-004","I",NA,"B"
"75",2328845,3.09681,3.13167,34.86,"JS0002-20110427-004.wav",10,"Chirp","JS0002","JS0002-004","I",NA,"D"
"76",2328846,3.21156,3.39458,183.02,"JS0002-20110427-004.wav",11,"Slope","JS0002","JS0002-004","I",NA,"B"
"77",2328847,3.49626,3.58632,90.06,"JS0002-20110427-004.wav",12,"Curve","JS0002","JS0002-004","I",NA,"A"
"78",2328848,3.64587,3.79984,153.97,"JS0002-20110427-004.wav",13,"Slope","JS0002","JS0002-004","I",NA,"B"
"79",2328849,3.8623,3.94945,87.15,"JS0002-20110427-004.wav",14,"Curve","JS0002","JS0002-004","I",NA,"A"
"80",2328850,3.99303,4.06711,74.08,"JS0002-20110427-004.wav",15,"Stack","JS0002","JS0002-004","I",NA,"E"
"81",2328851,4.10197,4.19348,91.51,"JS0002-20110427-004.wav",16,"Curve","JS0002","JS0002-004","I",NA,"A"
"82",2328852,4.24867,4.39829,149.62,"JS0002-20110427-004.wav",17,"Slope","JS0002","JS0002-004","I",NA,"B"
"83",2328853,4.46656,4.55661,90.05,"JS0002-20110427-004.wav",18,"Curve","JS0002","JS0002-004","I",NA,"A"
"84",2328854,4.61617,4.8021,185.93,"JS0002-20110427-004.wav",19,"Slope","JS0002","JS0002-004","I",NA,"B"
"85",2328855,5.01416,5.15505,140.89,"JS0002-20110427-004.wav",20,"Slope","JS0002","JS0002-004","I",NA,"B"
"86",2328856,5.37004,5.45283,82.79,"JS0002-20110427-004.wav",21,"Curve","JS0002","JS0002-004","I",NA,"A"
"87",2328857,5.51529,5.71283,197.54,"JS0002-20110427-004.wav",22,"Slope","JS0002","JS0002-004","I",NA,"B"
"88",2328858,0.23491,0.32755,92.64,"JS0002-20110427-005.wav",1,"Curve","JS0002","JS0002-005","I",NA,"A"
"89",2328859,0.425,0.529,104,"JS0002-20110427-005.wav",2,"Slope","JS0002","JS0002-005","I",NA,"B"
