match,mismatch,gap,line,score,length,norm_score
1,-1,-1,Blue,2825.76689492688,53,53.31635650805434
2,-1,-1,Blue,2829.1955093250153,53,53.38104734575501
1,-2,-1,Blue,2860.6081603410385,56,51.08228857751855
2,-2,-1,Blue,2854.637773981789,56,50.97567453538909
1,-1,-2,Blue,2651.4323768266704,49,54.110864833197354
2,-1,-2,Blue,2723.759705297303,50,54.47519410594606
1,-2,-2,Blue,2826.9060901597736,53,53.33785075773158
2,-2,-2,Blue,2825.9177718949777,53,53.319203243301466
1,-1,-1,Pink,8425.990314527427,97,86.8658795312106
2,-1,-1,Pink,8374.757138743225,95,88.15533830256027
1,-2,-1,Pink,8515.550467871548,102,83.48578890070145
2,-2,-1,Pink,8509.948807875084,102,83.430870665442
1,-1,-2,Pink,8275.86357096,89,92.98723113438203
2,-1,-2,Pink,8362.536302106699,92,90.89713371855107
1,-2,-2,Pink,8331.662485755183,98,85.01696414035901
2,-2,-2,Pink,8387.392990915381,96,87.36867698870189
1,-1,-1,Turquoise,1237.8337806254617,46,26.909430013596992
2,-1,-1,Turquoise,1271.732383926604,51,24.935929096600077
1,-2,-1,Turquoise,1375.3330649991497,62,22.18279137095403
2,-2,-1,Turquoise,1375.3330649991497,62,22.18279137095403
1,-1,-2,Turquoise,1207.7797680255858,40,30.194494200639646
2,-1,-2,Turquoise,1256.392071981498,44,28.55436527230677
1,-2,-2,Turquoise,1237.8337806254617,46,26.909430013596992
2,-2,-2,Turquoise,1237.8337806254617,46,26.909430013596992
1,-1,-1,White,3360.0731942931175,83,40.48280956979659
2,-1,-1,White,3295.383786236868,85,38.76922101455139
1,-2,-1,White,3510.6547487977305,100,35.1065474879773
2,-2,-1,White,3425.1461696014107,97,35.31078525362279
1,-1,-2,White,3145.0631307400736,79,39.810925705570554
2,-1,-2,White,3119.4716578625594,79,39.48698301091847
1,-2,-2,White,3254.7755026093637,79,41.19968990644764
2,-2,-2,White,3366.020854674446,83,40.55446812860779
1,-1,-1,Yellow,9452.94468249503,117,80.79439899568402
2,-1,-1,Yellow,9607.05180145329,124,77.47622420526847
1,-2,-1,Yellow,9664.16464646472,135,71.58640478862756
2,-2,-1,Yellow,9916.39750321118,137,72.3824635270889
1,-1,-2,Yellow,8650.921975160587,94,92.03108484213391
2,-1,-2,Yellow,9112.577935177096,99,92.04624176946562
1,-2,-2,Yellow,9266.101104864269,115,80.57479221621104
2,-2,-2,Yellow,9627.436960467578,125,77.01949568374062
1,-1,-1,Pale Blue,1570.2452617505853,49,32.04582166837929
2,-1,-1,Pale Blue,1570.2452617505853,49,32.04582166837929
1,-2,-1,Pale Blue,1603.9506101426603,49,32.73368592127878
2,-2,-1,Pale Blue,1570.5126885078973,50,31.410253770157947
1,-1,-2,Pale Blue,1597.8309480737792,48,33.28814475153707
2,-1,-2,Pale Blue,1596.6583024794247,48,33.26371463498801
1,-2,-2,Pale Blue,1596.6583024794247,48,33.26371463498801
2,-2,-2,Pale Blue,1570.2452617505853,49,32.04582166837929
1,-1,-1,Green,2461.116163500948,69,35.668350195665916
2,-1,-1,Green,2455.0805899794245,69,35.580878115643834
1,-2,-1,Green,2485.478420784906,71,35.006738320914174
2,-2,-1,Green,2486.179173278939,71,35.016608074351254
1,-1,-2,Green,2336.4114922170243,62,37.684056326081034
2,-1,-2,Green,2338.1985980783916,63,37.11426346156177
1,-2,-2,Green,2301.730666170494,65,35.411241018007594
2,-2,-2,Green,2461.116163500948,69,35.668350195665916
1,-1,-1,Dark Pink,834.3382810210875,78,10.69664462847548
2,-1,-1,Dark Pink,838.8830655785101,78,10.754911097160386
1,-2,-1,Dark Pink,862.1022536751545,79,10.912686755381703
2,-2,-1,Dark Pink,845.5937844317066,81,10.439429437428476
1,-1,-2,Dark Pink,820.5847024171554,71,11.557531019959935
2,-1,-2,Dark Pink,845.2480045544135,76,11.121684270452809
1,-2,-2,Dark Pink,807.3423772081096,77,10.484965937767658
2,-2,-2,Dark Pink,863.3377305770327,79,10.928325703506744
1,-1,-1,Orange,4754.8594272002765,87,54.65355663448594
2,-1,-1,Orange,4890.382935166619,86,56.86491785077464
1,-2,-1,Orange,5111.76142725827,98,52.16083089039051
2,-2,-1,Orange,5096.810208507233,98,52.00826743374728
1,-1,-2,Orange,4566.386862372693,69,66.17951974453179
2,-1,-2,Orange,4574.139916085201,72,63.5297210567389
1,-2,-2,Orange,4839.318447085108,86,56.27114473354777
2,-2,-2,Orange,4754.966907434823,87,54.654792039480725
1,-1,-1,Pale Green,649.0165491671853,33,19.667168156581372
2,-1,-1,Pale Green,648.379176623882,33,19.647853837087332
1,-2,-1,Pale Green,645.9747664140698,33,19.57499292163848
2,-2,-1,Pale Green,645.9747664140698,33,19.57499292163848
1,-1,-2,Pale Green,641.2063425484503,31,20.68407556607904
2,-1,-2,Pale Green,641.2063425484503,31,20.68407556607904
1,-2,-2,Pale Green,649.0165491671853,33,19.667168156581372
2,-2,-2,Pale Green,649.0165491671853,33,19.667168156581372
