wminus,line,score,length,norm_score
0,Blue,2621.9395267138975,51,51.41057895517446
1,Blue,2842.3508716710944,50,56.84701743342189
2,Blue,2674.2922611907784,51,52.4371031606035
3,Blue,3025.8672306828444,65,46.55180354896684
4,Blue,2877.3259842640273,65,44.26655360406196
5,Blue,2893.2084026763387,65,44.510898502712905
0,Pink,9725.063759845494,121,80.37242776731813
1,Pink,9953.643487885283,113,88.08534060075472
2,Pink,10114.964320488907,111,91.12580468908925
3,Pink,10347.730925758246,111,93.22280113295717
4,Pink,10488.91543239548,114,92.00803010873229
5,Pink,10455.696971680614,104,100.53554780462129
0,Turquoise,1307.1086176705046,43,30.39787482954662
1,Turquoise,1215.4548131227257,40,30.386370328068143
2,Turquoise,1258.8677799831416,43,29.275994883328874
3,Turquoise,1238.3381103403456,42,29.48424072238918
4,Turquoise,1395.439974372382,47,29.69021222068898
5,Turquoise,1498.0810632428154,49,30.57308292332276
0,White,3188.3306481543696,110,28.984824074130632
1,White,3118.931491959015,110,28.353922654172866
2,White,3047.3052034564525,110,27.70277457687684
3,White,2920.1116236902562,88,33.18308663284382
4,White,3056.1036352222127,110,27.782760320201934
5,White,3129.65837480561,112,27.94337834647866
0,Yellow,11368.21391348149,123,92.42450336163813
1,Yellow,11030.977093648531,123,89.68274059876855
2,Yellow,11403.796443974561,140,81.45568888553258
3,Yellow,11377.911022143086,125,91.02328817714468
4,Yellow,11078.031824152042,124,89.33896632380679
5,Yellow,12905.592381331418,140,92.18280272379585
0,Pale Blue,1860.0896896472811,68,27.35426014187178
1,Pale Blue,1993.8772853214261,73,27.313387470156524
2,Pale Blue,2019.0513127155964,79,25.55761155336198
3,Pale Blue,2087.0192689701476,81,25.765669987285772
4,Pale Blue,2085.1878551960035,71,29.36884303092963
5,Pale Blue,2167.5398801766505,82,26.43341317288598
0,Green,2615.226437490719,72,36.32258940959332
1,Green,2930.3637131803416,80,36.62954641475427
2,Green,2915.4779901444344,80,36.44347487680543
3,Green,2827.090075938378,76,37.19855363076813
4,Green,2846.7347093338526,78,36.4965988376135
5,Green,2952.561081819952,80,36.9070135227494
0,Dark Pink,1160.5690769585713,101,11.490782940183873
1,Dark Pink,1048.060436257554,101,10.376836002550041
2,Dark Pink,1112.5666954572318,101,11.015511836210216
3,Dark Pink,1035.7538313155358,101,10.25498842886669
4,Dark Pink,996.9191700146401,88,11.328626931984546
5,Dark Pink,1035.7942085027241,89,11.63813717418791
0,Orange,5646.228712973149,95,59.43398645234894
1,Orange,5523.813091780963,86,64.23038478815073
2,Orange,5536.61358950934,86,64.37922778499232
3,Orange,5878.239188123697,92,63.89390421873584
4,Orange,6005.41731140663,98,61.27976848374112
5,Orange,5529.118364590271,80,69.11397955737839
0,Pale Green,648.5492620739179,33,19.653007941633877
1,Pale Green,772.8553444865455,42,18.401317725870133
2,Pale Green,792.2541156495192,39,20.314208093577417
3,Pale Green,754.2348340721579,36,20.9509676131155
4,Pale Green,806.7232435013774,39,20.68521137183019
5,Pale Green,782.9947796345222,36,21.749854989847837
