match,mismatch,gap,pair,score,length,norm_score
1,-1,-1,Blue_vs_Pink,10894.975380147771,98,111.17321816477317
2,-1,-1,Blue_vs_Pink,10781.290867456326,104,103.6662583409262
1,-2,-1,Blue_vs_Pink,11576.551056026015,125,92.61240844820813
2,-2,-1,Blue_vs_Pink,11542.334407781638,125,92.3386752622531
1,-1,-2,Blue_vs_Pink,10720.468555235972,76,141.05879677942067
2,-1,-2,Blue_vs_Pink,10110.914309727652,81,124.82610258923027
1,-2,-2,Blue_vs_Pink,10711.594302862139,98,109.30198268226673
2,-2,-2,Blue_vs_Pink,10761.638920425217,97,110.94473113840431
1,-1,-1,Blue_vs_Turquoise,2689.80101466525,58,46.37587956319397
2,-1,-1,Blue_vs_Turquoise,2788.1998653170904,61,45.70819451339492
1,-2,-1,Blue_vs_Turquoise,2949.0570650297263,73,40.39804198670858
2,-2,-1,Blue_vs_Turquoise,2946.246117606022,72,40.9200849667503
1,-1,-2,Blue_vs_Turquoise,2809.877416114221,45,62.4417203580938
2,-1,-2,Blue_vs_Turquoise,2821.6283661548246,46,61.33974709032227
1,-2,-2,Blue_vs_Turquoise,2699.3014606367683,58,46.53968035580635
2,-2,-2,Blue_vs_Turquoise,2689.80101466525,58,46.37587956319397
1,-1,-1,Blue_vs_White,6702.071481341433,87,77.03530438323487
2,-1,-1,Blue_vs_White,6697.511339192623,92,72.799036295572
1,-2,-1,Blue_vs_White,7627.509128748294,118,64.63990787074825
2,-2,-1,Blue_vs_White,6891.417240238011,105,65.63254514512391
1,-1,-2,Blue_vs_White,6316.380452335067,80,78.95475565418835
2,-1,-2,Blue_vs_White,6212.581876815529,79,78.64027692171555
1,-2,-2,Blue_vs_White,6636.966133158793,83,79.96344738745533
2,-2,-2,Blue_vs_White,6714.555876106616,84,79.93518900126924
1,-1,-1,Blue_vs_Yellow,14227.793560292039,132,107.78631485069727
2,-1,-1,Blue_vs_Yellow,14268.620135987625,138,103.39579808686685
1,-2,-1,Blue_vs_Yellow,15006.080585849266,148,101.39243639087341
2,-2,-1,Blue_vs_Yellow,14569.371695465032,150,97.12914463643355
1,-1,-2,Blue_vs_Yellow,13698.646256129512,97,141.2231572796857
2,-1,-2,Blue_vs_Yellow,13812.130767762052,98,140.94010987512297
1,-2,-2,Blue_vs_Yellow,14348.330253800177,134,107.07709144626997
2,-2,-2,Blue_vs_Yellow,14460.608117011941,135,107.11561568156993
1,-1,-1,Blue_vs_Pale Blue,4910.903894160633,52,94.4404595030891
2,-1,-1,Blue_vs_Pale Blue,5389.324640364527,57,94.54955509411451
1,-2,-1,Blue_vs_Pale Blue,5294.93012661393,61,86.80213322317918
2,-2,-1,Blue_vs_Pale Blue,5575.9984956323815,67,83.22385814376689
1,-1,-2,Blue_vs_Pale Blue,4731.89048253199,48,98.58105171941645
2,-1,-2,Blue_vs_Pale Blue,4733.7189491810805,48,98.61914477460584
1,-2,-2,Blue_vs_Pale Blue,5045.301200367303,55,91.73274909758733
2,-2,-2,Blue_vs_Pale Blue,4910.903894160633,52,94.4404595030891
1,-1,-1,Blue_vs_Green,5274.33293627137,77,68.49783034118663
2,-1,-1,Blue_vs_Green,5381.855633779175,78,68.99814915101507
1,-2,-1,Blue_vs_Green,5393.588573570928,81,66.58751325396207
2,-2,-1,Blue_vs_Green,5403.4460592393425,82,65.89568364926028
1,-1,-2,Blue_vs_Green,4993.284755211346,68,73.43065816487274
2,-1,-2,Blue_vs_Green,4890.043804037055,63,77.61974292122311
1,-2,-2,Blue_vs_Green,5101.775014453125,76,67.12861861122532
2,-2,-2,Blue_vs_Green,5275.0690985676465,77,68.50739089048892
1,-1,-1,Blue_vs_Dark Pink,1772.7471991979296,78,22.727528194845252
2,-1,-1,Blue_vs_Dark Pink,1775.666637235116,79,22.476792876393873
1,-2,-1,Blue_vs_Dark Pink,1776.3428273981806,79,22.48535224554659
2,-2,-1,Blue_vs_Dark Pink,1812.0474585602321,81,22.370956278521383
1,-1,-2,Blue_vs_Dark Pink,1799.814256654082,74,24.32181427910922
2,-1,-2,Blue_vs_Dark Pink,1724.067276685658,74,23.29820644169808
1,-2,-2,Blue_vs_Dark Pink,1729.851486009372,78,22.177583153966307
2,-2,-2,Blue_vs_Dark Pink,1787.4669397201526,78,22.916242816925035
1,-1,-1,Blue_vs_Orange,8911.705823035476,89,100.1315261015222
2,-1,-1,Blue_vs_Orange,9054.356834651331,87,104.07306706495783
1,-2,-1,Blue_vs_Orange,9730.138854100473,110,88.45580776454975
2,-2,-1,Blue_vs_Orange,9411.878499635599,103,91.37746116151067
1,-1,-2,Blue_vs_Orange,8662.000964369101,70,123.74287091955858
2,-1,-2,Blue_vs_Orange,8686.106083143539,72,120.64036226588249
1,-2,-2,Blue_vs_Orange,9168.899438391141,86,106.6151097487342
2,-2,-2,Blue_vs_Orange,8911.48949284316,90,99.01654992047956
1,-1,-1,Blue_vs_Pale Green,2135.4121030774318,49,43.579838838314934
2,-1,-1,Blue_vs_Pale Green,2180.647472723056,50,43.61294945446112
1,-2,-1,Blue_vs_Pale Green,2134.3551561546346,49,43.558268492951726
2,-2,-1,Blue_vs_Pale Green,2197.297673876325,51,43.08426811522206
1,-1,-2,Blue_vs_Pale Green,2137.6211077508183,45,47.50269128335152
2,-1,-2,Blue_vs_Pale Green,2074.0014880984522,45,46.08892195774338
1,-2,-2,Blue_vs_Pale Green,2134.1254961559775,49,43.553581554203625
2,-2,-2,Blue_vs_Pale Green,2134.947682048265,49,43.570360858127856
1,-1,-1,Pink_vs_Turquoise,3985.5795227177086,82,48.604628325825715
2,-1,-1,Pink_vs_Turquoise,3948.0318074857564,83,47.56664828296092
1,-2,-1,Pink_vs_Turquoise,4262.8125586493625,102,41.79227998675846
2,-2,-1,Pink_vs_Turquoise,4242.791668914763,103,41.19215212538605
1,-1,-2,Pink_vs_Turquoise,4009.349516142739,71,56.46971149496816
