wminus,pair,score,length,norm_score
0,Blue_vs_Pink,11342.965569028369,106,107.00910914177706
1,Blue_vs_Pink,11327.066568744985,88,128.71666555392028
2,Blue_vs_Pink,11614.33907641589,89,130.49819186984146
3,Blue_vs_Pink,11844.266650802236,104,113.88717933463688
4,Blue_vs_Pink,11804.652506890277,105,112.42526197038359
5,Blue_vs_Pink,11759.123381404444,90,130.6569264600494
0,Blue_vs_Turquoise,2592.1978841354344,47,55.15314647096669
1,Blue_vs_Turquoise,2870.2973212414768,54,53.15365409706438
2,Blue_vs_Turquoise,2650.857700651207,46,57.6273413185045
3,Blue_vs_Turquoise,2834.1733666412647,54,52.484691974838235
4,Blue_vs_Turquoise,2884.378867184581,56,51.50676548543895
5,Blue_vs_Turquoise,2800.55169404352,54,51.86206840821333
0,Blue_vs_White,6386.772815689883,104,61.41127707394118
1,Blue_vs_White,6500.6812979903425,108,60.19149349991058
2,Blue_vs_White,6583.92366145839,103,63.92158894619796
3,Blue_vs_White,6970.685171719178,121,57.60896836131552
4,Blue_vs_White,6832.548224108213,110,62.11407476462011
5,Blue_vs_White,7109.484193541654,102,69.70082542687896
0,Blue_vs_Yellow,15249.479752149378,123,123.97951018007625
1,Blue_vs_Yellow,15529.289577650728,138,112.53108389601977
2,Blue_vs_Yellow,14978.782144517856,115,130.25027951754657
3,Blue_vs_Yellow,15568.969729280987,124,125.5562074942015
4,Blue_vs_Yellow,15361.638535821361,123,124.89137020992976
5,Blue_vs_Yellow,15551.973953274615,125,124.41579162619692
0,Blue_vs_Pale Blue,5240.343455708182,71,73.80765430574904
1,Blue_vs_Pale Blue,5518.2568501506485,76,72.60864276514012
2,Blue_vs_Pale Blue,5473.176278849382,79,69.28071239049851
3,Blue_vs_Pale Blue,5579.670277505439,78,71.5342343269928
4,Blue_vs_Pale Blue,5715.208505940535,78,73.27190392231455
5,Blue_vs_Pale Blue,6061.8219262316015,76,79.76081481883686
0,Blue_vs_Green,5363.959570188795,72,74.49943847484437
1,Blue_vs_Green,5309.977951668239,72,73.74969377317
2,Blue_vs_Green,5647.089777030387,82,68.86694850037058
3,Blue_vs_Green,6097.744851031374,88,69.29255512535653
4,Blue_vs_Green,6119.940618898175,86,71.16210021974622
5,Blue_vs_Green,6207.3917919362175,85,73.02813872866139
0,Blue_vs_Dark Pink,2047.2829834643007,98,20.890642688411234
1,Blue_vs_Dark Pink,2016.074168860361,101,19.96113038475605
2,Blue_vs_Dark Pink,2038.5173131788206,101,20.18333973444377
3,Blue_vs_Dark Pink,2061.1464644702532,101,20.40739073732924
4,Blue_vs_Dark Pink,2072.550599803683,101,20.520302968353295
5,Blue_vs_Dark Pink,2061.4539157784907,101,20.410434809688027
0,Blue_vs_Orange,10196.545423702917,91,112.04994971102107
1,Blue_vs_Orange,10233.907479024587,77,132.90788933798166
2,Blue_vs_Orange,10466.518353340176,99,105.72240760949673
3,Blue_vs_Orange,10474.087711643766,106,98.8121482230544
4,Blue_vs_Orange,10227.950619872187,82,124.73110512039251
5,Blue_vs_Orange,10579.724242694518,91,116.26070596367602
0,Blue_vs_Pale Green,2182.8377916255795,46,47.452995470121294
1,Blue_vs_Pale Green,2176.1936424033584,46,47.308557443551265
2,Blue_vs_Pale Green,2212.8871414632654,50,44.25774282926531
3,Blue_vs_Pale Green,2644.212401934925,63,41.97162542753849
4,Blue_vs_Pale Green,2700.0674490860756,61,44.263400804689766
5,Blue_vs_Pale Green,2385.5126202792376,53,45.00967208074033
0,Pink_vs_Turquoise,4049.412611677142,81,49.992748292310395
1,Pink_vs_Turquoise,4428.59247431271,87,50.90336177370931
2,Pink_vs_Turquoise,4544.8745712108475,104,43.700717030873534
3,Pink_vs_Turquoise,4716.441925897385,100,47.16441925897385
