lambda,max_scale,pair,score,length,norm_score
0,1,Blue_vs_Pink,11084.215829406976,103,107.61374591657258
50,1,Blue_vs_Pink,11084.215829406976,103,107.61374591657258
100,1,Blue_vs_Pink,11084.215829406976,103,107.61374591657258
0,1.25,Blue_vs_Pink,10828.002940500217,101,107.20794990594274
50,1.25,Blue_vs_Pink,10828.002940500217,101,107.20794990594274
100,1.25,Blue_vs_Pink,10828.002940500217,101,107.20794990594274
0,1.5,Blue_vs_Pink,10949.07208914757,121,90.48819908386422
50,1.5,Blue_vs_Pink,10949.07208914757,121,90.48819908386422
100,1.5,Blue_vs_Pink,10949.07208914757,121,90.48819908386422
0,1,Blue_vs_Turquoise,2807.59947394397,67,41.90446976035776
50,1,Blue_vs_Turquoise,2807.59947394397,67,41.90446976035776
100,1,Blue_vs_Turquoise,2807.59947394397,67,41.90446976035776
0,1.25,Blue_vs_Turquoise,2952.292012768341,73,40.442356339292346
50,1.25,Blue_vs_Turquoise,2952.292012768341,73,40.442356339292346
100,1.25,Blue_vs_Turquoise,2952.292012768341,73,40.442356339292346
0,1.5,Blue_vs_Turquoise,2952.292012768341,73,40.442356339292346
50,1.5,Blue_vs_Turquoise,2952.292012768341,73,40.442356339292346
100,1.5,Blue_vs_Turquoise,2952.292012768341,73,40.442356339292346
0,1,Blue_vs_White,7476.603897655681,128,58.41096795043501
50,1,Blue_vs_White,7476.603897655681,128,58.41096795043501
100,1,Blue_vs_White,7476.603897655681,128,58.41096795043501
0,1.25,Blue_vs_White,7984.949334808236,178,44.85926592588897
50,1.25,Blue_vs_White,7984.949334808236,178,44.85926592588897
100,1.25,Blue_vs_White,7984.949334808236,178,44.85926592588897
0,1.5,Blue_vs_White,7607.391342918508,171,44.487668672038055
50,1.5,Blue_vs_White,7607.391342918508,171,44.487668672038055
100,1.5,Blue_vs_White,7607.391342918508,171,44.487668672038055
0,1,Blue_vs_Yellow,13669.32664259956,138,99.0530916130403
50,1,Blue_vs_Yellow,13669.32664259956,138,99.0530916130403
100,1,Blue_vs_Yellow,13669.32664259956,138,99.0530916130403
0,1.25,Blue_vs_Yellow,13660.262684687605,135,101.18713099768595
50,1.25,Blue_vs_Yellow,13660.262684687605,135,101.18713099768595
100,1.25,Blue_vs_Yellow,13660.262684687605,135,101.18713099768595
0,1.5,Blue_vs_Yellow,13335.334521126037,134,99.51742179944803
50,1.5,Blue_vs_Yellow,13335.334521126037,134,99.51742179944803
100,1.5,Blue_vs_Yellow,13335.334521126037,134,99.51742179944803
0,1,Blue_vs_Pale Blue,5316.579768728072,89,59.73685133402328
50,1,Blue_vs_Pale Blue,5316.579768728072,89,59.73685133402328
100,1,Blue_vs_Pale Blue,5316.579768728072,89,59.73685133402328
0,1.25,Blue_vs_Pale Blue,5160.347491566922,75,68.8046332208923
50,1.25,Blue_vs_Pale Blue,5160.347491566922,75,68.8046332208923
100,1.25,Blue_vs_Pale Blue,5160.347491566922,75,68.8046332208923
0,1.5,Blue_vs_Pale Blue,5313.888758457525,84,63.26058045782768
50,1.5,Blue_vs_Pale Blue,5313.888758457525,84,63.26058045782768
100,1.5,Blue_vs_Pale Blue,5313.888758457525,84,63.26058045782768
0,1,Blue_vs_Green,5818.429276728801,106,54.89084223329057
50,1,Blue_vs_Green,5818.429276728801,106,54.89084223329057
100,1,Blue_vs_Green,5818.429276728801,106,54.89084223329057
0,1.25,Blue_vs_Green,6441.240091802688,141,45.682553842572254
50,1.25,Blue_vs_Green,6441.240091802688,141,45.682553842572254
100,1.25,Blue_vs_Green,6441.240091802688,141,45.682553842572254
0,1.5,Blue_vs_Green,6159.655111060656,134,45.96757545567654
50,1.5,Blue_vs_Green,6159.655111060656,134,45.96757545567654
100,1.5,Blue_vs_Green,6159.655111060656,134,45.96757545567654
0,1,Blue_vs_Dark Pink,2257.2408361972725,147,15.355379838076685
50,1,Blue_vs_Dark Pink,2257.2408361972725,147,15.355379838076685
100,1,Blue_vs_Dark Pink,2257.2408361972725,147,15.355379838076685
0,1.25,Blue_vs_Dark Pink,2161.5321083667245,116,18.633897485920038
50,1.25,Blue_vs_Dark Pink,2161.5321083667245,116,18.633897485920038
100,1.25,Blue_vs_Dark Pink,2161.5321083667245,116,18.633897485920038
0,1.5,Blue_vs_Dark Pink,2161.5321083667245,116,18.633897485920038
50,1.5,Blue_vs_Dark Pink,2161.5321083667245,116,18.633897485920038
100,1.5,Blue_vs_Dark Pink,2161.5321083667245,116,18.633897485920038
0,1,Blue_vs_Orange,11567.686516165984,117,98.86911552278619
50,1,Blue_vs_Orange,11567.686516165984,117,98.86911552278619
100,1,Blue_vs_Orange,11567.686516165984,117,98.86911552278619
0,1.25,Blue_vs_Orange,11567.686516165984,117,98.86911552278619
50,1.25,Blue_vs_Orange,11567.686516165984,117,98.86911552278619
100,1.25,Blue_vs_Orange,11567.686516165984,117,98.86911552278619
0,1.5,Blue_vs_Orange,11567.686516165984,117,98.86911552278619
50,1.5,Blue_vs_Orange,11567.686516165984,117,98.86911552278619
100,1.5,Blue_vs_Orange,11567.686516165984,117,98.86911552278619
0,1,Blue_vs_Pale Green,2331.705774203474,70,33.310082488621056
50,1,Blue_vs_Pale Green,2331.705774203474,70,33.310082488621056
100,1,Blue_vs_Pale Green,2331.705774203474,70,33.310082488621056
0,1.25,Blue_vs_Pale Green,2470.0748022129865,77,32.07889353523359
50,1.25,Blue_vs_Pale Green,2470.0748022129865,77,32.07889353523359
100,1.25,Blue_vs_Pale Green,2470.0748022129865,77,32.07889353523359
0,1.5,Blue_vs_Pale Green,2343.784724179235,68,34.46742241440052
50,1.5,Blue_vs_Pale Green,2343.784724179235,68,34.46742241440052
100,1.5,Blue_vs_Pale Green,2343.784724179235,68,34.46742241440052
0,1,Pink_vs_Turquoise,4278.433955978729,88,48.61856768157646
50,1,Pink_vs_Turquoise,4278.433955978729,88,48.61856768157646
100,1,Pink_vs_Turquoise,4278.433955978729,88,48.61856768157646
0,1.25,Pink_vs_Turquoise,4170.578367711586,88,47.39293599672257
50,1.25,Pink_vs_Turquoise,4170.578367711586,88,47.39293599672257
100,1.25,Pink_vs_Turquoise,4170.578367711586,88,47.39293599672257
0,1.5,Pink_vs_Turquoise,4170.578367711586,88,47.39293599672257
50,1.5,Pink_vs_Turquoise,4170.578367711586,88,47.39293599672257
100,1.5,Pink_vs_Turquoise,4170.578367711586,88,47.39293599672257
0,1,Pink_vs_White,9084.690970453184,130,69.88223823425527
50,1,Pink_vs_White,9084.690970453184,130,69.88223823425527
100,1,Pink_vs_White,9084.690970453184,130,69.88223823425527
0,1.25,Pink_vs_White,9570.86255795113,134,71.42434744739649
50,1.25,Pink_vs_White,9570.86255795113,134,71.42434744739649
100,1.25,Pink_vs_White,9570.86255795113,134,71.42434744739649
0,1.5,Pink_vs_White,8781.930428436066,126,69.69786054314338
50,1.5,Pink_vs_White,8781.930428436066,126,69.69786054314338
100,1.5,Pink_vs_White,8781.930428436066,126,69.69786054314338
0,1,Pink_vs_Yellow,23559.758891736412,149,158.11918719286183
50,1,Pink_vs_Yellow,23559.758891736412,149,158.11918719286183
100,1,Pink_vs_Yellow,23559.758891736412,149,158.11918719286183
0,1.25,Pink_vs_Yellow,22576.70387320518,138,163.59930342902305
50,1.25,Pink_vs_Yellow,22576.70387320518,138,163.59930342902305
100,1.25,Pink_vs_Yellow,22576.70387320518,138,163.59930342902305
0,1.5,Pink_vs_Yellow,22336.14526895445,143,156.1968200626185
50,1.5,Pink_vs_Yellow,22336.14526895445,143,156.1968200626185
100,1.5,Pink_vs_Yellow,22336.14526895445,143,156.1968200626185
0,1,Pink_vs_Pale Blue,7876.84077026388,115,68.494267567512
50,1,Pink_vs_Pale Blue,7876.84077026388,115,68.494267567512
100,1,Pink_vs_Pale Blue,7876.84077026388,115,68.494267567512
0,1.25,Pink_vs_Pale Blue,8827.284390680335,129,68.42856116806462
50,1.25,Pink_vs_Pale Blue,8827.284390680335,129,68.42856116806462
100,1.25,Pink_vs_Pale Blue,8827.284390680335,129,68.42856116806462
0,1.5,Pink_vs_Pale Blue,8911.153113098784,126,70.72343740554591
50,1.5,Pink_vs_Pale Blue,8911.153113098784,126,70.72343740554591
100,1.5,Pink_vs_Pale Blue,8911.153113098784,126,70.72343740554591
0,1,Pink_vs_Green,8832.793837855972,100,88.32793837855972
50,1,Pink_vs_Green,8832.793837855972,100,88.32793837855972
100,1,Pink_vs_Green,8832.793837855972,100,88.32793837855972
0,1.25,Pink_vs_Green,8929.8318669574,115,77.65071188658608
50,1.25,Pink_vs_Green,8929.8318669574,115,77.65071188658608
100,1.25,Pink_vs_Green,8929.8318669574,115,77.65071188658608
0,1.5,Pink_vs_Green,9354.583576960138,127,73.65813840126093
50,1.5,Pink_vs_Green,9354.583576960138,127,73.65813840126093
100,1.5,Pink_vs_Green,9354.583576960138,127,73.65813840126093
0,1,Pink_vs_Dark Pink,2933.203838843138,98,29.930651416766715
50,1,Pink_vs_Dark Pink,2933.203838843138,98,29.930651416766715
100,1,Pink_vs_Dark Pink,2933.203838843138,98,29.930651416766715
0,1.25,Pink_vs_Dark Pink,2933.203838843138,98,29.930651416766715
50,1.25,Pink_vs_Dark Pink,2933.203838843138,98,29.930651416766715
100,1.25,Pink_vs_Dark Pink,2933.203838843138,98,29.930651416766715
0,1.5,Pink_vs_Dark Pink,2925.013007448249,105,27.857266737602373
50,1.5,Pink_vs_Dark Pink,2925.013007448249,105,27.857266737602373
100,1.5,Pink_vs_Dark Pink,2925.013007448249,105,27.857266737602373
0,1,Pink_vs_Orange,13606.567099696229,141,96.50047588437042
50,1,Pink_vs_Orange,13606.567099696229,141,96.50047588437042
100,1,Pink_vs_Orange,13606.567099696229,141,96.50047588437042
0,1.25,Pink_vs_Orange,13926.081905275667,143,97.38518814878088
50,1.25,Pink_vs_Orange,13926.081905275667,143,97.38518814878088
100,1.25,Pink_vs_Orange,13926.081905275667,143,97.38518814878088
0,1.5,Pink_vs_Orange,14278.701856049353,164,87.06525521981312
50,1.5,Pink_vs_Orange,14278.701856049353,164,87.06525521981312
100,1.5,Pink_vs_Orange,14278.701856049353,164,87.06525521981312
0,1,Pink_vs_Pale Green,4202.212138408078,100,42.02212138408078
50,1,Pink_vs_Pale Green,4202.212138408078,100,42.02212138408078
100,1,Pink_vs_Pale Green,4202.212138408078,100,42.02212138408078
0,1.25,Pink_vs_Pale Green,4088.1598013822972,102,40.07999805276762
50,1.25,Pink_vs_Pale Green,4088.1598013822972,102,40.07999805276762
100,1.25,Pink_vs_Pale Green,4088.1598013822972,102,40.07999805276762
0,1.5,Pink_vs_Pale Green,4093.1515031505082,105,38.98239526810008
50,1.5,Pink_vs_Pale Green,4093.1515031505082,105,38.98239526810008
100,1.5,Pink_vs_Pale Green,4093.1515031505082,105,38.98239526810008
0,1,Turquoise_vs_White,5989.686697435211,170,35.23345116138359
50,1,Turquoise_vs_White,5989.686697435211,170,35.23345116138359
100,1,Turquoise_vs_White,5989.686697435211,170,35.23345116138359
0,1.25,Turquoise_vs_White,6216.588046387135,193,32.21030075848257
50,1.25,Turquoise_vs_White,6216.588046387135,193,32.21030075848257
100,1.25,Turquoise_vs_White,6216.588046387135,193,32.21030075848257
0,1.5,Turquoise_vs_White,5841.084056469475,183,31.918492111855056
50,1.5,Turquoise_vs_White,5841.084056469475,183,31.918492111855056
100,1.5,Turquoise_vs_White,5841.084056469475,183,31.918492111855056
