lambda,max_scale,comp,score,length,norm_score
0,1,Blue,2579.639272069667,63,40.94665511221694
50,1,Blue,2579.639272069667,63,40.94665511221694
100,1,Blue,2579.639272069667,63,40.94665511221694
0,1.25,Blue,2561.32230417127,64,40.02066100267609
50,1.25,Blue,2561.32230417127,64,40.02066100267609
100,1.25,Blue,2561.32230417127,64,40.02066100267609
0,1.5,Blue,2594.3322028756647,73,35.53879729966664
50,1.5,Blue,2594.3322028756647,73,35.53879729966664
100,1.5,Blue,2594.3322028756647,73,35.53879729966664
0,1,Pink,11575.935558721323,143,80.95059831273653
50,1,Pink,11575.935558721323,143,80.95059831273653
100,1,Pink,11575.935558721323,143,80.95059831273653
0,1.25,Pink,11718.282425436797,157,74.6387415632917
50,1.25,Pink,11718.282425436797,157,74.6387415632917
100,1.25,Pink,11718.282425436797,157,74.6387415632917
0,1.5,Pink,10039.900441303425,106,94.71604189908892
50,1.5,Pink,10039.900441303425,106,94.71604189908892
100,1.5,Pink,10039.900441303425,106,94.71604189908892
0,1,Turquoise,1267.599293539911,52,24.376909491152137
50,1,Turquoise,1267.599293539911,52,24.376909491152137
100,1,Turquoise,1267.599293539911,52,24.376909491152137
0,1.25,Turquoise,1235.2991273510033,64,19.301548864859427
50,1.25,Turquoise,1235.2991273510033,64,19.301548864859427
100,1.25,Turquoise,1235.2991273510033,64,19.301548864859427
0,1.5,Turquoise,1107.1007728873703,53,20.88869382806359
50,1.5,Turquoise,1107.1007728873703,53,20.88869382806359
100,1.5,Turquoise,1107.1007728873703,53,20.88869382806359
0,1,White,3664.194855770906,163,22.4797230415393
50,1,White,3664.194855770906,163,22.4797230415393
100,1,White,3664.194855770906,163,22.4797230415393
0,1.25,White,3336.2104063384054,142,23.494439481256375
50,1.25,White,3336.2104063384054,142,23.494439481256375
100,1.25,White,3336.2104063384054,142,23.494439481256375
0,1.5,White,3463.156867190703,119,29.102158547821034
50,1.5,White,3463.156867190703,119,29.102158547821034
100,1.5,White,3463.156867190703,119,29.102158547821034
0,1,Yellow,9227.253605896034,147,62.7704326931703
50,1,Yellow,9227.253605896034,147,62.7704326931703
100,1,Yellow,9227.253605896034,147,62.7704326931703
0,1.25,Yellow,9540.039782540054,172,55.46534757290729
50,1.25,Yellow,9540.039782540054,172,55.46534757290729
100,1.25,Yellow,9540.039782540054,172,55.46534757290729
0,1.5,Yellow,9586.601186278702,171,56.06199524139592
50,1.5,Yellow,9586.601186278702,171,56.06199524139592
100,1.5,Yellow,9586.601186278702,171,56.06199524139592
0,1,Pale Blue,1414.1292851364026,50,28.282585702728053
50,1,Pale Blue,1414.1292851364026,50,28.282585702728053
100,1,Pale Blue,1414.1292851364026,50,28.282585702728053
0,1.25,Pale Blue,2049.271176099497,97,21.126506970097907
50,1.25,Pale Blue,2049.271176099497,97,21.126506970097907
100,1.25,Pale Blue,2049.271176099497,97,21.126506970097907
0,1.5,Pale Blue,2130.742628855487,117,18.21147546030331
50,1.5,Pale Blue,2130.742628855487,117,18.21147546030331
100,1.5,Pale Blue,2130.742628855487,117,18.21147546030331
0,1,Green,2807.39358204555,86,32.644111419134305
50,1,Green,2807.39358204555,86,32.644111419134305
100,1,Green,2807.39358204555,86,32.644111419134305
0,1.25,Green,3039.626562602951,107,28.40772488413973
50,1.25,Green,3039.626562602951,107,28.40772488413973
100,1.25,Green,3039.626562602951,107,28.40772488413973
0,1.5,Green,2588.291825507246,88,29.412407108036884
50,1.5,Green,2588.291825507246,88,29.412407108036884
100,1.5,Green,2588.291825507246,88,29.412407108036884
0,1,Dark Pink,1104.9913887670036,129,8.565824719124059
50,1,Dark Pink,1104.9913887670036,129,8.565824719124059
100,1,Dark Pink,1104.9913887670036,129,8.565824719124059
0,1.25,Dark Pink,1104.9913887670036,129,8.565824719124059
50,1.25,Dark Pink,1104.9913887670036,129,8.565824719124059
100,1.25,Dark Pink,1104.9913887670036,129,8.565824719124059
0,1.5,Dark Pink,1104.9913887670036,129,8.565824719124059
50,1.5,Dark Pink,1104.9913887670036,129,8.565824719124059
100,1.5,Dark Pink,1104.9913887670036,129,8.565824719124059
0,1,Orange,5460.604890221065,104,52.505816252125626
50,1,Orange,5460.604890221065,104,52.505816252125626
100,1,Orange,5460.604890221065,104,52.505816252125626
0,1.25,Orange,5460.604890221065,104,52.505816252125626
50,1.25,Orange,5460.604890221065,104,52.505816252125626
100,1.25,Orange,5460.604890221065,104,52.505816252125626
0,1.5,Orange,5460.604890221065,104,52.505816252125626
50,1.5,Orange,5460.604890221065,104,52.505816252125626
100,1.5,Orange,5460.604890221065,104,52.505816252125626
0,1,Pale Green,731.4095223639115,45,16.253544941420255
50,1,Pale Green,731.4095223639115,45,16.253544941420255
100,1,Pale Green,731.4095223639115,45,16.253544941420255
0,1.25,Pale Green,768.691791238168,52,14.782534446887846
50,1.25,Pale Green,768.691791238168,52,14.782534446887846
100,1.25,Pale Green,768.691791238168,52,14.782534446887846
0,1.5,Pale Green,709.8333855577071,40,17.745834638942675
50,1.5,Pale Green,709.8333855577071,40,17.745834638942675
100,1.5,Pale Green,709.8333855577071,40,17.745834638942675
