"","1","I","I","I","I","I","I","2","3","4","5","6","7","8","9","10","11","12","13","I","I","14","15","16","17","18","19","20","21","22","I","I","I","23","24","I","I","I","I","I","25","26","27","28","29","30","31","32","33","34","I","35","I","I","I","36","37","38","39","40","41","42","I","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","I","I","I","I","I","I","I","I","I","I","I","I","I","I","63"
"D1","A","-","-","-","-","-","-","-","D","B","D","B","D","B","D","B","A","A","A","-","-","A","A","A","A","E","E","E","E","D","-","-","-","D","B","D","B","-","-","-","B","E","A","E","A","E","A","E","A","E","-","A","A","-","-","E","E","E","D","B","B","-","-","-","D","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","B","B","D","-","-","-","-","-","-","-","-","-","-","-","-","B"
"D2","D","-","-","-","-","-","-","B","D","B","D","B","D","B","D","B","A","A","A","-","-","A","A","A","A","E","E","E","E","D","-","-","-","D","B","-","-","-","-","-","B","E","A","E","A","E","A","E","A","E","A","A","A","-","-","E","E","D","D","B","B","-","-","-","-","B","D","B","D","B","D","B","A","-","A","E","E","E","E","D","D","B","B","B","D","B","D","-","-","-","-","-","-","-","-","-","-","B"
"D3","A","-","-","-","-","-","-","-","D","B","D","B","D","B","D","B","A","A","A","-","-","A","A","A","A","E","E","E","D","D","B","-","-","D","B","-","-","-","-","-","B","E","A","E","A","E","A","E","A","-","-","-","-","-","-","-","E","D","D","B","B","-","-","-","-","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","B","B","E","A","E","A","E","A","E","A","E","E","D","D","B","B"
"D4","D","B","D","-","-","-","-","B","D","B","D","B","D","B","D","B","A","A","-","-","-","-","A","A","A","E","E","E","E","D","-","-","-","D","B","-","-","-","-","-","B","E","A","E","A","E","A","E","A","E","-","A","-","-","-","-","E","D","D","B","B","B","D","B","D","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B"
"D5","A","D","B","D","B","D","-","B","D","B","D","B","D","B","D","B","A","-","-","-","-","-","A","A","A","E","E","E","E","D","-","-","-","D","B","-","-","-","-","-","B","E","A","E","A","E","A","E","A","E","A","A","A","-","-","E","E","D","D","B","B","-","-","B","D","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","B"
"D6","A","D","B","D","-","-","-","B","D","B","D","B","D","B","D","B","A","A","A","A","A","A","A","A","A","A","E","E","E","D","-","-","-","D","B","D","B","-","-","-","B","E","A","E","A","E","A","E","A","-","-","-","-","-","-","-","E","D","D","B","B","-","-","-","-","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B"
"D7","A","A","D","-","-","-","-","B","D","B","D","B","D","B","D","B","A","A","A","-","-","A","A","A","A","E","E","E","E","D","-","-","-","D","B","D","B","-","-","-","B","E","A","E","A","E","A","E","A","E","A","A","A","-","-","E","E","D","D","-","B","-","-","-","-","B","D","B","D","B","D","B","A","-","A","E","E","E","E","D","D","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D8","D","-","-","-","-","-","-","B","D","B","D","B","D","B","D","B","A","A","A","A","-","A","A","A","A","E","E","E","E","D","-","-","-","D","B","-","-","-","-","-","B","E","A","E","A","E","A","E","A","E","-","A","-","-","-","-","E","D","D","B","B","-","-","-","-","B","D","B","D","B","D","B","A","-","A","E","E","E","E","D","D","B","B","E","A","E","A","E","-","-","-","-","-","-","-","-","-","A"
"D9","D","B","A","D","-","-","-","B","D","B","D","B","D","B","D","B","A","A","A","-","-","-","A","A","E","E","E","E","E","D","-","-","-","D","B","D","B","-","-","-","B","E","A","E","A","E","A","E","A","E","A","A","A","E","E","E","E","D","D","B","B","-","-","-","-","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","E","E","E","E","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","-","-","B","D","B","D","B","D","B","D","B","A","-","A","E","E","E","E","D","-","B","B","B","D","-","-","-","-","-","-","-","-","-","-","-","-","B"
