"","I","I","I","I","I","1","2","I","I","I","I","3","4","5","I","6","7","8","9","10","11","12","13","14","15","16","17","I","I","I","18","19","20","I","21","22","23","24","25","26","27","28","29","30","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","31","32","I","I","I","I","I","I","I"
"D1","-","-","-","-","-","-","A","-","-","-","-","D","B","D","-","B","D","B","D","B","A","A","A","A","A","A","A","E","-","-","E","E","E","D","D","B","D","B","B","E","A","E","A","E","A","E","A","E","A","A","E","E","E","D","B","B","D","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","B","B","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","-"
"D2","-","-","-","-","-","D","B","-","-","-","-","D","B","D","-","B","D","B","D","B","A","A","A","A","A","A","A","E","-","-","E","E","E","-","D","-","D","B","B","E","A","E","A","E","A","E","A","E","A","A","A","E","E","D","D","B","B","B","D","B","D","B","D","B","A","A","E","E","E","E","D","D","B","B","B","D","B","-","-","-","-","-","-","D","B","-","-","-","-","-","-","-"
"D3","-","-","-","-","-","-","A","-","-","-","-","D","B","D","-","B","D","B","D","B","A","A","A","A","A","A","A","-","-","-","E","E","E","D","D","B","D","B","B","E","A","E","A","E","A","E","A","E","D","D","B","B","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","B","B","E","A","E","A","E","A","E","A","E","E","D","D","B","B","-","-","-","-","-","-","-"
"D4","D","B","-","-","-","D","B","-","-","-","-","D","B","D","-","B","D","B","D","B","A","A","A","A","A","-","-","-","-","-","E","E","E","E","D","-","D","B","B","E","A","E","A","E","A","E","A","E","A","E","D","D","B","B","B","D","B","D","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-"
"D5","A","D","B","D","B","D","B","-","-","-","-","D","B","D","-","B","D","B","D","B","A","A","A","A","-","-","-","-","-","-","E","E","E","E","D","-","D","B","B","E","A","E","A","E","A","E","A","E","A","A","A","E","E","D","D","B","B","B","D","B","D","B","D","B","D","B","A","A","A","E","E","E","E","D","D","B","B","-","-","-","-","-","-","D","B","-","-","-","-","-","-","-"
"D6","A","D","B","-","-","D","B","-","-","-","-","D","B","D","-","B","D","B","D","B","A","A","A","A","A","A","A","A","A","A","E","E","E","D","D","B","D","B","B","E","A","E","A","E","A","E","A","E","D","D","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","-"
"D7","A","A","-","-","-","D","B","-","-","-","-","D","B","D","-","B","D","B","D","B","A","A","A","A","A","A","A","E","-","-","E","E","E","D","D","B","D","B","B","E","A","E","A","E","A","E","A","E","A","A","A","E","E","D","D","B","B","D","B","D","B","D","B","A","A","E","E","E","E","D","D","-","-","-","-","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-"
"D8","-","-","-","-","-","D","B","-","-","-","-","D","B","D","-","B","D","B","D","B","A","A","A","A","A","A","A","A","-","-","E","E","E","E","D","-","D","B","B","E","A","E","A","E","A","E","A","E","A","E","D","D","B","B","B","D","B","D","B","D","B","A","A","E","E","E","E","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","B","B","E","A","E","A","E","A"
"D9","D","B","A","-","-","D","B","-","-","-","-","D","B","D","-","B","D","B","D","B","A","A","A","A","A","E","E","-","-","-","E","E","E","D","D","B","D","B","B","E","A","E","A","E","A","E","A","E","A","A","A","E","E","E","E","D","D","B","B","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","-"
"S1","-","-","-","-","-","-","-","-","-","-","-","-","B","D","-","B","D","B","D","B","A","A","A","A","-","-","-","-","-","-","E","E","E","-","D","B","D","B","B","E","A","E","A","E","A","E","A","E","A","E","A","E","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","-"
