"","1","I","I","I","2","I","3","I","I","I","I","4","I","5","I","6","I","I","I","I","I","7","8","I","I","9","I","I","10","11","12","13","14","15","I","I","16","I","17","I","I","I","I"
"D1","-","-","-","-","A","B","B","-","-","-","-","-","-","-","-","A","-","-","-","-","-","B","A","B","-","A","-","-","B","-","B","A","B","A","-","-","B","-","A","B","B","-","-"
"D2","-","-","-","-","A","B","B","B","-","-","-","A","-","A","B","A","B","A","B","B","B","E","A","B","-","A","-","-","B","A","B","A","B","A","-","-","B","B","A","B","B","-","-"
"D3","-","-","-","-","B","B","B","B","-","-","-","A","-","A","-","A","-","-","-","-","-","B","A","B","-","A","-","-","B","-","B","A","B","A","-","-","B","-","A","B","B","-","-"
"D4","-","-","-","-","B","B","B","B","-","-","-","B","-","A","B","A","-","-","-","-","-","B","D","B","-","A","-","-","B","A","E","A","B","A","-","-","B","B","A","B","-","-","-"
"D1","-","-","-","-","A","B","B","-","-","-","-","-","-","-","-","A","-","-","-","-","-","B","A","B","-","A","-","-","B","-","B","A","B","A","-","-","B","-","A","B","B","-","-"
"D6","-","-","-","-","B","-","B","B","-","-","-","A","-","-","-","A","-","-","-","-","-","E","A","B","-","A","-","-","B","A","B","A","B","A","B","B","D","B","A","B","B","B","-"
"D7","-","-","-","-","A","B","B","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","A","B","B","A","B","B","B","A","B","A","B","A","-","-","B","-","A","B","-","-","-"
"D8","-","-","-","-","A","B","B","B","-","-","-","A","-","A","-","A","-","-","-","-","-","A","A","B","-","A","B","-","B","A","B","A","B","A","-","-","B","B","A","B","B","-","-"
"D9","-","-","-","-","B","B","B","A","-","-","-","A","-","-","-","A","B","-","-","-","-","B","A","B","-","A","-","-","B","A","B","B","E","A","-","-","B","-","A","B","B","B","B"
"D10","-","-","-","-","B","B","B","B","-","-","-","A","B","A","A","A","-","-","-","-","-","B","A","B","B","A","-","-","B","A","B","A","E","A","-","-","B","B","A","B","B","B","-"
"S1","A","B","-","-","A","B","B","B","B","-","-","A","-","-","-","A","-","-","-","-","-","B","A","B","-","A","-","-","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S2","A","B","B","B","A","B","B","B","-","-","-","A","-","-","-","A","-","-","-","-","-","B","A","B","-","A","-","-","B","A","B","A","B","A","-","-","B","-","-","-","-","-","-"
"S3","A","B","-","-","A","B","B","B","B","-","-","A","-","-","-","A","-","-","-","-","-","B","A","B","-","A","-","-","B","A","B","A","B","A","-","-","B","-","-","-","-","-","-"
"S4","A","B","-","-","A","B","B","B","B","-","-","A","-","A","B","A","-","-","-","-","-","B","A","B","-","A","-","-","B","A","B","A","B","A","-","-","B","-","-","-","-","-","-"
"S5","A","B","-","-","A","A","B","B","B","B","A","A","B","A","B","A","-","-","-","-","-","B","A","B","-","A","-","-","B","A","B","A","B","A","-","-","E","-","A","B","-","-","-"
"S6","A","B","-","-","B","B","B","B","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","B","A","B","A","B","A","-","-","B","-","-","-","-","-","-"
"S7","A","A","-","-","A","B","B","B","-","-","-","A","-","-","-","A","-","-","-","-","-","B","A","B","-","A","-","-","B","A","B","A","B","-","-","-","-","-","-","-","-","-","-"
"S8","A","B","-","-","B","B","B","A","-","-","-","A","B","A","B","A","-","-","-","-","-","B","A","B","-","A","-","-","B","A","B","A","E","A","-","-","B","-","A","B","-","-","-"
"S9","A","-","-","-","A","B","B","B","B","-","-","A","-","A","B","A","-","-","-","-","-","B","A","B","-","A","-","-","B","A","B","A","B","A","-","-","B","-","-","-","-","-","-"
"S10","A","-","-","-","A","B","B","B","B","B","-","A","-","-","-","A","-","-","-","-","-","B","A","B","-","A","-","-","B","A","B","A","E","A","-","-","B","-","-","-","-","-","-"
