"","1","2","3","4","5","6","10","11","12","13","I","14","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","15","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","16","24","25","26","I","27","28","29","30","31","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","32","33","I","I","I","I","I","I","I","I","I","I","I","I","34","35","36","37","38","46","47","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","48","I","I","49","I","50","51","52","53"
"D1","A","A","A","-","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","E","-","-","E","C","C","B","-","-"
"D2","A","A","A","-","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","E","E","C","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","C","C","-","-","-","-","-","-","-","-","-","-","B","H","A","B","A","-","A","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","E","-","-","E","C","C","B","-","-"
"D3","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","C","-","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","A","A","A","-","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","C","C","C","C","C","C","C","C","C","C","C","C","E","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","C","B","-","H","A","B","A"
"D5","A","A","A","A","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","E","-","-","E","-","-","-","-","-"
"D6","A","A","A","A","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","C","C","C","C","C","-","-","-","-","-","-","-","C","-","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D7","A","A","A","-","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","E","-","-","E","C","C","B","H","A"
"D8","A","A","-","-","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","C","C","C","C","C","C","C","C","C","C","C","-","E","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","C","B","-","H","A","B","A"
"D9","A","A","-","-","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","C","C","C","C","C","C","C","C","C","C","C","-","E","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","C","B","-","H","A","B","A"
"D10","A","A","-","-","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","E","-","-","E","C","C","B","-","-"
