"","1","2","I","I","I","3","I","4","5","6","7","8","I","I","I","9","I","10","I","11","13","I","14","16","I","I","17","18","I","19","20","21","22","I","I","I","I","23","24","25","26","27","28","29","30","31","32"
"D1","A","B","-","-","-","B","-","-","A","A","A","A","-","-","-","B","B","B","B","A","B","B","A","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","A","B"
"D2","B","B","-","-","-","B","B","A","A","A","A","-","-","-","-","B","B","B","B","A","B","-","-","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","B","A","B","-","-","-","-","-","-"
"D3","A","B","-","-","-","B","B","A","A","A","A","-","-","-","-","B","B","B","B","A","B","B","A","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","A","B"
"D4","D","B","-","-","-","B","B","B","A","A","A","A","-","-","-","B","B","B","B","A","-","-","-","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","A","B"
"D5","A","B","-","-","-","B","B","A","A","A","A","A","-","-","-","B","B","B","B","A","B","-","-","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","B","A","B","A","B","-","-","-","-"
"D6","-","B","-","-","-","B","B","A","A","A","A","A","-","-","-","B","B","B","B","A","B","-","-","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","A","B"
"D7","B","B","-","-","-","B","B","A","A","-","A","A","B","-","-","B","B","B","B","A","B","B","A","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","A","B"
"D8","A","B","B","-","-","B","B","A","A","A","A","A","B","-","-","B","B","B","B","A","B","-","-","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","A","B"
"D9","-","B","-","-","-","B","B","A","A","A","A","B","B","-","-","B","B","B","B","A","B","-","-","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","A","B"
"D10","A","B","B","-","-","B","B","A","A","A","A","A","B","-","-","B","B","B","B","A","B","-","-","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","B","-","-","-","-","-","-","-","-"
"S1","A","B","B","-","-","B","B","A","A","A","A","A","-","-","-","B","B","B","B","A","-","-","-","B","-","-","-","A","B","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","A","-"
"S2","A","B","-","-","-","A","A","A","A","A","A","A","-","-","-","-","-","-","-","A","B","-","-","B","-","-","-","A","-","A","A","A","B","B","B","B","B","A","B","B","B","-","-","-","-","-","-"
"S3","A","B","B","B","B","B","B","A","A","A","A","A","B","B","-","B","B","B","B","A","B","-","-","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S4","-","B","-","-","-","B","A","A","A","A","A","A","-","-","-","B","B","B","B","A","B","-","-","B","B","B","G","A","B","A","B","A","B","-","-","-","-","A","B","A","B","-","-","-","-","-","-"
"S5","A","B","-","-","-","B","B","A","A","-","-","A","B","-","-","B","B","B","B","A","B","-","-","B","B","-","G","A","B","A","B","A","B","-","-","-","-","A","B","A","B","-","-","-","-","-","-"
"S6","A","B","-","-","-","B","B","A","A","-","A","A","B","-","-","B","B","B","B","A","B","-","-","B","-","-","G","A","B","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","G","-"
"S7","D","A","B","B","B","B","B","A","A","A","A","A","B","B","-","B","B","B","B","A","B","-","-","B","B","B","G","A","B","A","B","A","B","-","-","-","-","A","B","-","-","-","-","-","-","-","-"
"S8","A","B","-","-","-","B","B","A","A","A","A","B","B","-","-","B","B","B","B","A","B","-","-","B","B","-","G","A","B","A","B","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S9","A","B","-","-","-","B","B","A","A","A","A","-","-","-","-","B","B","B","B","A","B","-","-","B","-","-","G","A","B","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","-","-","-"
"S10","A","B","-","-","-","B","B","A","A","A","A","A","B","B","B","B","B","B","B","A","B","-","-","B","-","-","G","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
