"","1","2","I","3","I","I","I","4","I","5","I","I","I","I","I","I","I","I","I","I","I","I","I","6","13","14","15","I","I","I","16","I","I"
"D1","D","A","-","A","B","B","B","A","B","A","B","B","B","B","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"D2","A","A","-","B","B","B","-","A","B","B","B","B","B","B","B","B","B","B","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"D3","A","B","-","B","B","B","-","A","B","A","B","B","B","B","B","B","B","B","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"D4","A","A","-","B","B","B","B","A","B","B","B","B","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"D5","A","A","-","B","B","B","B","A","B","A","B","B","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"D6","A","A","-","B","B","B","-","A","B","A","B","B","B","B","B","B","B","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"D7","A","A","-","B","B","B","-","A","B","A","B","B","B","B","B","B","B","B","-","-","-","-","-","B","P","A","A","B","B","B","A","B","-"
"D8","A","A","-","B","B","B","-","A","B","A","B","B","B","B","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"D9","A","A","-","B","B","B","B","A","B","A","B","B","B","B","B","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"D10","A","A","-","B","B","B","B","A","B","A","B","B","B","B","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"S1","D","D","E","A","A","B","B","A","B","A","B","B","B","B","B","B","B","B","B","B","B","B","B","A","-","-","-","-","-","-","-","-","-"
"S2","D","A","-","A","B","B","-","A","B","A","B","B","B","B","B","B","B","B","B","B","B","B","B","B","-","-","-","-","-","-","-","-","-"
"S3","A","A","-","B","B","-","-","A","B","B","B","B","B","B","B","B","B","B","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"S4","A","A","-","B","B","-","-","A","B","B","B","B","B","B","B","B","B","B","B","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"S5","A","A","-","A","B","B","-","A","B","B","B","B","B","B","B","B","B","-","-","-","-","-","-","B","A","A","A","B","B","-","A","B","B"
"S6","A","A","-","B","B","-","-","A","B","B","B","B","B","B","B","B","B","B","B","B","B","-","-","B","-","-","-","-","-","-","-","-","-"
"S7","D","A","-","A","B","B","-","A","B","B","B","B","B","B","B","B","B","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-"
"S8","A","A","-","B","B","-","-","A","B","A","B","B","B","B","B","B","B","B","B","B","B","B","B","B","-","-","-","-","-","-","-","-","-"
