"","1","2","3","4","5","I","6","I","I","7","8","9","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","10","I","I","I","I","I","I","I","I","11","12","13","14","I","I","I","15","16"
"D1","D","-","-","A","A","B","B","B","-","A","B","A","B","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"D2","A","-","-","-","A","B","B","B","-","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","B","B","B","B","B","B","-","-","-","-","-","-","-","-"
"D3","A","-","-","-","B","B","B","B","-","A","B","A","B","B","B","B","B","B","-","-","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"D4","A","-","-","-","A","B","B","B","B","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"D5","A","-","-","-","A","B","B","B","B","A","B","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"D6","A","-","-","-","A","B","B","B","-","A","B","A","B","B","B","B","B","-","-","-","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"D7","A","-","-","-","A","B","B","B","-","A","B","A","B","B","B","B","B","B","B","B","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-","P","A","A","B","B","B","A","B"
"D8","A","-","-","-","A","B","B","B","-","A","B","A","B","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"D9","A","-","-","-","A","B","B","B","B","A","B","A","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"D10","A","-","-","-","A","B","B","B","B","A","B","A","B","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"S1","A","A","A","A","A","B","B","B","-","A","B","A","B","B","B","B","B","B","B","B","B","B","B","B","B","B","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"S2","A","A","A","A","A","A","B","B","B","A","B","A","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"S3","A","-","-","A","A","B","B","B","B","A","B","A","B","B","B","B","B","B","B","B","B","B","B","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"S4","A","A","A","A","A","B","B","B","B","A","B","A","B","B","B","B","B","B","B","B","B","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"S5","A","A","A","A","B","B","B","B","-","A","B","A","B","B","B","B","B","B","B","B","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"S6","D","-","-","A","A","B","B","B","B","A","B","A","B","B","B","B","B","B","B","B","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"S7","A","A","A","A","B","B","B","B","-","A","B","A","B","B","B","B","B","B","B","B","B","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"S8","A","-","A","A","A","B","B","B","-","A","B","A","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"S9","A","A","A","A","A","A","B","B","B","A","B","A","B","B","B","B","B","B","B","-","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"S6","D","-","-","A","A","B","B","B","B","A","B","A","B","B","B","B","B","B","B","B","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
