"","3","4","5","6","7","8","9","10","12","I","I","13","I","14","I","15","I","I","I","I","I","I","I","I","16","17","18","19","21","I","I","22","I"
"D1","D","-","-","-","-","-","-","A","A","B","-","B","B","A","B","A","B","B","-","-","-","-","-","-","B","-","-","-","B","B","-","B","B"
"D2","-","-","-","-","-","-","-","A","A","B","-","B","B","A","B","B","B","B","B","B","-","-","-","-","B","-","-","-","B","B","-","B","B"
"D3","-","-","-","-","-","-","-","A","B","B","-","B","B","A","B","A","B","B","B","B","-","-","-","-","B","-","-","-","B","B","-","B","B"
"D4","-","-","-","-","-","-","-","A","A","-","-","B","B","B","B","A","B","-","-","-","-","-","-","-","B","-","-","-","B","-","-","B","B"
"D5","-","-","-","-","-","-","-","A","A","B","B","B","B","A","B","A","B","-","-","-","-","-","-","-","B","-","-","-","B","-","-","-","-"
"D6","-","-","-","-","-","-","-","A","A","B","-","B","B","A","B","A","B","B","B","-","-","-","-","-","B","-","-","-","B","B","-","B","B"
"D7","-","-","-","-","-","-","-","A","A","B","-","B","B","A","B","A","B","B","B","B","B","B","B","B","B","P","A","A","B","B","B","A","B"
"D8","-","-","-","-","-","-","-","A","A","B","-","B","B","A","B","A","B","B","-","-","-","-","-","-","B","-","-","-","B","B","-","B","B"
"D9","-","-","-","-","-","-","-","A","A","B","B","B","B","A","B","A","B","-","-","-","-","-","-","-","B","-","-","-","B","B","-","B","B"
"D10","-","-","-","-","-","-","-","A","A","B","B","B","B","A","B","A","B","B","-","-","-","-","-","-","B","-","-","-","B","B","-","B","B"
"S1","A","A","A","A","A","A","A","A","A","-","-","B","B","A","B","A","B","B","-","-","-","-","-","-","B","-","-","-","B","B","-","B","B"
"S2","D","-","-","-","-","-","-","A","A","-","-","B","B","A","B","A","B","-","-","-","-","-","-","-","B","-","-","-","B","-","-","B","B"
"S3","D","D","A","A","A","A","-","A","A","-","-","B","B","A","B","A","B","B","B","B","-","-","-","-","B","-","-","-","B","B","-","B","B"
"S4","A","A","A","A","A","A","A","A","A","-","-","B","B","A","B","A","B","B","B","-","-","-","-","-","B","-","-","-","B","B","-","B","B"
"S5","-","-","A","A","A","A","A","A","A","-","-","B","B","A","B","A","B","B","B","B","B","-","-","-","B","-","-","-","B","B","-","B","B"
"S6","-","-","A","A","A","A","A","A","A","-","-","B","B","A","B","A","B","B","B","B","B","B","-","-","B","-","-","-","B","B","-","B","B"
"S7","-","-","A","A","A","A","-","A","A","-","-","B","B","A","B","A","B","B","B","B","B","B","-","-","B","-","-","-","B","B","-","B","B"
