"","1","2","3","4","5","I","6","7","8","9","10","I","11","12","13","14","15","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","16","I","17","I","18","19","20","21","22","23","24","I","I","25","26","27","I","I","I","I","I","I","I","I","I","28","29","30","31","32","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","33","I","34","I"
"D1","G","B","A","A","-","-","-","J","J","F","G","B","A","B","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","F","B","A","B","F","-","-","B","A","B","-","-","-","-","-","-","-","-","-","F","B","A","B","F","B","A","B","F","B","A","B","F","F","F","-","-","-","-","-","-","F","B","A","-"
"D2","G","B","A","B","-","-","-","-","-","F","B","-","A","B","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","F","B","A","B","F","-","-","B","A","B","-","-","-","-","-","-","-","-","-","F","B","A","B","F","B","A","B","F","F","F","B","A","-","-","-","-","-","-","-","-","G","B","A","-"
"D3","G","B","A","B","-","-","-","-","-","F","B","-","A","B","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","F","B","A","B","F","-","-","B","A","B","-","-","-","-","-","-","-","-","-","F","B","A","B","F","F","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","B","A","-"
"D4","G","B","A","B","-","-","-","-","-","F","B","-","A","B","F","B","A","B","F","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","G","B","A","B","F","B","A","B","F","-","-","B","A","B","-","-","-","-","-","-","-","-","-","F","B","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","F","F","-"
"D5","G","B","A","B","-","-","-","-","-","F","B","-","A","B","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","F","F","B","A","G","B","A","B","F","B","A","B","F","B","A","-","G","B","A","J","F","B","A","B","F","-","-","B","A","B","-","-","-","-","-","-","-","-","-","F","B","A","B","F","B","A","B","F","B","A","B","-","-","-","-","-","-","-","-","-","F","F","F","-"
"D6","G","B","A","B","-","-","-","-","-","F","B","-","A","B","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","F","B","A","B","F","-","-","B","A","B","-","-","-","-","-","-","-","-","-","F","B","A","B","F","F","F","G","B","A","B","-","-","-","-","-","-","-","-","-","-","F","B","A","-"
"D7","G","B","A","B","-","-","-","F","J","F","B","-","A","B","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","F","B","A","B","F","-","-","B","A","-","-","-","-","-","-","-","-","-","-","G","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","G","B","A","-"
"D8","G","B","A","B","-","-","-","-","-","F","B","-","A","B","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","F","B","A","B","F","F","F","B","A","G","B","A","-","-","-","-","-","-","-","G","B","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","B","A","-"
"D9","G","B","A","B","-","-","-","-","-","F","B","-","A","B","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","F","B","A","B","F","-","-","B","A","B","-","-","-","-","-","-","-","-","-","F","B","A","B","F","B","A","G","B","A","A","J","F","G","B","A","B","F","B","A","B","F","B","A","-"
"D10","G","B","A","J","-","-","-","-","-","F","B","-","A","B","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","F","B","A","B","F","-","-","B","A","B","-","-","-","-","-","-","-","-","-","F","B","A","B","F","F","F","B","A","F","B","A","B","-","-","-","-","-","-","-","-","F","B","A","-"
