"","1","2","3","4","5","6","7","8","13","14","I","15","I","16","I","I","I","I","I","I","I","I","I","I","I","I","I","I","17","I","18","25","26","27","I","28","29","30","31","32","33","34","35","36","40","I","41","I","I","I","I","I","I","I","I","42","I","43","48","49","50","I","51","52","53","54","55","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","56","I","I","I","I","I","I","I","I","I"
"D1","A","A","A","-","-","-","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","C","C","E","E","E","C","C","B","H","A","B","A","B","A","-","-","C","C","C","C","C","C","C","-","-","-","-","C","C","C","E","E","C","C","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D2","A","A","A","-","-","-","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","C","C","C","E","E","C","C","B","H","A","B","A","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","C","B","H","A","B","A","A","C","C","C","C","C","C","C","C","C","C","E","E","C","C","-","B","-","-","-","-","-","-","-","-","-"
"D3","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","C","C","E","E","E","C","C","B","H","A","B","A","B","A","-","-","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","A","A","A","-","-","-","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","C","C","C","E","E","C","C","B","H","A","B","A","B","A","-","-","C","C","C","C","C","C","C","C","C","C","-","C","C","E","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D5","A","A","A","A","-","-","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","C","C","E","E","E","C","C","B","H","A","B","A","B","A","-","-","C","C","C","C","C","-","-","-","-","-","-","C","C","C","E","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D6","A","A","A","A","-","-","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","C","C","E","E","E","C","C","B","H","A","B","A","B","A","-","-","C","C","C","C","-","-","-","-","-","-","-","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D7","A","A","A","-","-","-","A","A","A","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","C","C","C","E","E","C","C","B","H","A","B","A","B","A","-","-","C","C","C","C","C","C","C","C","C","-","-","C","C","C","E","E","C","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D8","A","A","-","-","-","-","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","C","C","E","E","E","C","C","B","H","A","B","A","B","A","-","-","C","C","C","C","C","C","C","C","C","-","-","C","C","E","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D9","A","A","-","-","-","-","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","C","C","C","E","E","C","C","B","H","A","B","A","B","A","-","-","C","C","C","C","C","C","C","C","C","-","-","C","C","E","E","E","C","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D10","A","A","-","-","-","-","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","C","E","E","E","C","C","B","H","A","B","A","B","A","-","-","C","C","C","C","C","C","C","C","C","-","-","C","C","C","E","E","C","C","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
