"","1","2","3","I","4","I","5","I","6","I","I","I","7","8","I","I","I","9","I","I","I","I","10","11","12","I","I","13","I","14","15","17","18","19","I","I"
"D1","A","A","-","-","B","B","B","B","B","-","-","-","A","-","-","-","-","-","-","-","-","-","A","A","A","B","-","B","B","B","A","-","-","-","-","-"
"D2","A","A","-","-","B","B","B","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","A","A","A","B","B","B","B","B","A","A","A","A","B","B"
"D3","A","A","-","-","B","B","B","B","B","-","-","-","A","-","-","-","-","A","-","-","-","-","A","A","A","-","-","B","B","B","A","-","-","-","-","-"
"D4","A","A","-","-","B","B","B","B","B","-","-","-","A","-","-","-","-","-","-","-","-","-","A","A","A","B","-","B","B","B","A","A","A","A","-","-"
"D2","A","A","-","-","B","B","B","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","A","A","A","B","B","B","B","B","A","A","A","A","B","B"
"D6","A","A","-","-","B","B","B","B","B","B","-","-","A","-","-","-","-","A","-","-","-","-","A","A","A","B","-","B","B","B","A","A","-","-","-","-"
"D7","A","A","-","-","B","B","B","B","B","-","-","-","A","-","-","-","-","A","B","B","B","B","A","A","A","B","-","B","B","B","A","-","-","-","-","-"
"D8","A","A","-","-","B","B","B","B","B","-","-","-","A","A","B","B","B","A","-","-","-","-","A","A","A","B","-","B","B","B","A","A","A","A","-","-"
"D9","A","A","-","-","B","B","B","B","B","B","-","-","A","-","-","-","-","-","-","-","-","-","A","A","B","B","-","B","B","B","A","A","-","-","-","-"
"D10","A","A","-","-","B","B","B","B","B","B","-","-","A","-","-","-","-","-","-","-","-","-","A","A","A","B","-","B","B","B","B","A","A","-","-","-"
"S1","A","A","-","-","B","-","B","B","B","-","-","-","A","-","-","-","-","-","-","-","-","-","A","A","A","B","-","B","B","B","B","-","-","-","-","-"
"S2","A","B","-","-","B","B","B","B","B","B","-","-","A","-","-","-","-","-","-","-","-","-","A","A","A","B","-","B","-","-","-","-","-","-","-","-"
"S3","D","A","A","B","B","B","B","B","B","B","-","-","A","-","-","-","-","A","-","-","-","-","A","A","B","B","B","B","B","B","B","A","D","D","-","-"
"S4","A","A","A","B","B","B","B","B","B","B","-","-","A","-","-","-","-","A","-","-","-","-","A","A","A","B","-","B","B","B","B","-","-","-","-","-"
"S5","D","A","A","B","B","B","B","B","B","B","-","-","A","-","-","-","-","A","-","-","-","-","A","A","A","B","B","B","B","B","A","-","-","-","-","-"
"S6","A","A","A","-","-","-","-","-","B","-","-","-","A","-","-","-","-","-","-","-","-","-","A","A","B","B","B","B","B","B","B","A","A","D","-","-"
"S7","A","A","-","-","B","B","B","B","B","B","B","B","A","-","-","-","-","-","-","-","-","-","A","A","A","B","-","B","B","B","B","-","-","-","-","-"
"S8","A","A","-","-","B","B","B","B","B","B","B","B","A","-","-","-","-","A","-","-","-","-","A","A","A","B","-","B","B","B","-","-","-","-","-","-"
"S9","A","A","-","-","B","B","B","B","B","B","B","-","A","A","-","-","-","A","-","-","-","-","A","A","A","B","B","B","B","B","B","-","-","-","-","-"
"S10","-","-","-","-","B","B","B","B","B","B","B","-","A","-","-","-","-","-","-","-","-","-","A","A","B","B","-","B","B","B","A","-","-","-","-","-"
