"","I","1","I","I","2","3","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","4","I","5","6","7","I","8","9","10","12","13","14","I","15","16","17","18","19","I","I","I","I","I","I","I","I","I","I","I","20","21","22","23","24","25","26","27","28","I","I","I","I","I","I","I","I","I","I","I","29","I","30","31","32","I","I","I","I","I","I"
"D1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","-","B","D","B","D","B","A","-","A","A","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","E","A","E","A","E","A","E","A","E","A","E","A","-","-","E","-","E","D","B","-","-","-","-","-","-"
"D2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","B","D","B","A","-","A","A","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","E","A","E","A","E","A","E","-","-","-","-","-","-","-","D","-","B","D","B","-","-","-","-","-","-"
"D3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","D","B","D","-","B","D","B","D","B","A","-","-","-","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","E","A","E","A","E","A","E","A","-","-","-","-","-","-","E","-","E","D","B","-","-","-","-","-","-"
"D4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","-","B","D","B","D","B","A","-","-","A","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","E","A","E","A","E","A","E","A","E","-","-","-","-","-","D","-","B","D","B","-","-","-","-","-","-"
"D5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","D","B","D","-","B","D","B","D","B","A","-","-","A","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","E","A","E","A","E","A","-","-","-","-","-","-","-","-","E","A","E","D","B","-","-","-","-","-","-"
"D6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","-","B","D","B","D","B","A","A","A","A","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","E","A","E","A","E","A","E","A","E","A","E","D","B","-","D","B","B","D","B","-","-","-","-","-","-"
"D7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","-","B","D","B","D","B","A","-","A","A","A","E","E","D","B","D","B","B","E","A","E","A","E","A","E","D","B","D","B","B","D","B","D","B","A","A","E","-","-","-","-","-","-","-","E","-","E","D","B","-","-","-","-","-","-"
"D8","A","A","A","E","E","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","-","B","D","B","B","E","A","E","A","E","A","E","A","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","D","B","D","B","A","A","E","-","-","-","-","-","-","-","E","-","E","D","B","-","-","-","-","-","-"
"D9","A","A","E","-","E","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","-","B","D","B","B","E","A","-","-","E","A","E","A","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","D","B","D","B","A","A","-","-","-","-","-","-","-","-","E","-","E","D","B","-","-","-","-","-","-"
"D10","A","A","A","-","E","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","-","D","B","D","B","B","D","B","D","B","A","-","-","-","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","E","A","E","A","-","-","-","-","-","-","-","-","-","-","E","A","E","-","-","-","-","-","-","-","-"
"S1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","-","B","D","B","D","B","A","A","A","A","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","-","B","D","B","D","B","A","A","A","A","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","-","B","D","B","D","B","A","-","A","A","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","E","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S4","-","D","B","-","D","B","D","B","A","A","A","A","E","E","E","B","D","B","B","E","A","E","A","E","-","D","B","D","-","B","D","B","D","B","A","A","A","A","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","D","B","D","B","D","B","A","A","A","A","A","E","E","E","D","-","B","D","B","A","-","-","-","-","-"
"S5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","-","D","D","B","D","B","A","A","A","A","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","B","-","-","-","-","-","-"
"S6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","B","D","B","A","-","-","-","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","-","B","D","B","D","B","A","A","A","A","A","E","E","-","-","-","-","-","-","-","-","-","-","-","E","D","B","D","B","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","B","A","A","A","A","A","E"
