"","1","2","3","4","5","8","I","9","I","10","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","11","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","12","17","18","I","19","20","21","22","23","24","I","I","I","I","I","I","I","I","I","I","I","I","I","25","26","27","28","29","30","31","32","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","33","I","34","I","35","43","45","47","48","49","50","51","52","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I"
"D1","A","A","A","-","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","C","C","C","C","C","E","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D2","A","-","A","-","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","C","C","C","C","E","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","C","C","C","C","C","E","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","A","A","A","-","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","C","C","C","C","C","E","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D5","A","A","A","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E"
"D6","A","A","A","-","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","E","E","C","B","H","A","B","A","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D7","A","A","A","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","H","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","C","C","E","E","C","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D8","A","A","A","-","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","C","C","E","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D9","A","A","A","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D10","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","C","C","C","C","E","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
