"","1","2","3","4","5","6","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","7","I","8","12","13","14","15","16","17","I","I","I","I","I","I","I","18","23","I","24","I","I","I","25","26","27","28","29","30","31","32","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","33","I","I","I","I","I","I","I","34","35","36","I","I","I","I","I","I","I","I","I","I","I","I","I","I","37","38","39","40","46","I","47","48","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","49","50","51","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","52","I","I"
"D1","A","A","A","A","-","A","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D2","A","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","A","A","A","A","-","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D5","A","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","-","-"
"D6","A","A","A","A","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","E","E","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D7","A","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","E","E","C","B","H","A","H","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D8","A","A","A","A","-","A","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D9","A","A","A","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D10","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
