"","1","2","3","4","11","I","12","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","13","14","I","15","16","17","18","19","I","I","I","I","I","I","I","I","I","I","I","I","I","I","20","I","21","I","22","I","I","I","I","I","23","31","I","32","33","34","35","36","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","37"
"D1","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","C","C","C","C","C","C","-","-","-","-","E","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D2","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","C","C","C","C","C","-","-","-","-","E","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","A","A","A","A","A","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","-","-","-","-","C","C","C","C","C","C","-","-","-","-","E","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","C","C","C","C","C","C","-","-","-","-","E","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D5","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","C","C","C","C","C","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E"
"D6","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D7","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","E","C","B","H","A","H","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","C","C","C","-","-","-","-","E","E","C","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D8","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","C","C","C","-","-","-","-","E","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D9","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","E","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D10","A","A","A","A","A","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","C","C","C","C","C","-","-","-","-","E","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
