"","3","4","5","6","7","8","9","13","14","I","15","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","16","I","17","19"
"D1","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"D2","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","A","A","-"
"D3","-","-","-","-","-","-","-","A","-","-","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","D"
"D4","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","D"
"D5","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"D6","-","-","-","-","-","-","-","D","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"D7","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"D7","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"D9","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"S1","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"S2","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"S3","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"D7","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"S5","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"S5","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"S7","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"S8","D","D","D","D","D","D","D","-","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"S9","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
"S9","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-"
