"","4","5","I","I","I","I","I","I","I","I","I","I","I","I","I","6","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","7","I","8"
"D1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"D2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","A","A"
"D3","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D","-","-"
"D4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","-","-"
"D5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"D6","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"D7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"D7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"D9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"S1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"S1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"S3","-","A","A","A","A","A","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"S3","-","A","A","A","A","A","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"S7","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"S4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"S3","-","A","A","A","A","A","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
