"","1","I","2","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","3","4","5","6","7","8","9","10","I","I","I","I","I","I","I","I","I","I","I","I","11"
"D1","D","B","D","B","D","B","D","B","D","B","D","B","A","A","A","A","E","E","E","D","B","B","E","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","A","E","E","D","B","D","B","B","D","B","D","B","A","-","-","-","-","-","-","A"
"D2","D","-","D","B","A","D","B","D","B","D","B","D","B","D","B","A","A","A","A","A","E","E","E","D","B","B","E","A","E","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","A","E","E","D","B","D","B","B","D","B","D","B","A","-","-","-","-","-","-","A"
"D3","D","B","D","B","D","B","D","B","A","A","A","A","E","E","E","E","D","B","B","E","A","E","A","E","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","A","E","E","D","B","-","B","D","B","D","B","A","A","E","D","D","D","-","-","D"
"D4","D","-","D","B","A","D","B","D","B","D","B","D","B","D","B","A","A","A","A","A","E","E","E","D","B","B","E","A","E","A","E","A","E","A","E","E","D","B","D","B","D","B","D","B","A","A","E","E","E","D","B","D","B","B","E","A","E","D","D","D","-","-","-","-","-","D"
"D5","D","-","D","D","B","A","D","B","D","B","D","B","A","A","A","A","A","E","E","E","D","B","D","B","B","E","A","E","A","E","E","D","B","D","B","B","D","B","D","B","-","-","-","-","-","A","A","E","E","D","B","D","B","E","-","-","-","-","-","-","-","-","-","-","-","A"
"D6","A","-","D","B","D","B","D","B","D","B","A","A","A","A","E","E","E","D","B","D","D","D","A","A","A","A","A","E","E","E","D","B","B","D","B","D","B","A","-","-","-","-","-","-","-","A","E","E","E","D","B","D","B","B","D","-","-","-","-","-","-","-","-","-","-","B"
"D7","D","-","D","D","B","A","D","B","D","B","D","B","A","A","A","A","E","E","E","D","B","B","E","A","E","A","E","D","D","D","D","D","A","A","A","-","-","-","-","-","-","-","-","-","-","A","E","E","E","D","B","D","B","B","D","B","D","B","-","-","-","-","-","-","-","A"
"D8","A","-","D","B","D","B","D","B","D","B","A","A","A","E","E","E","D","B","B","E","A","E","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","A","E","E","D","B","D","B","B","D","B","D","B","-","-","-","-","-","-","-","A"
"D9","D","B","D","B","D","B","D","B","A","A","A","A","E","E","E","D","B","B","E","A","E","A","E","A","E","E","D","B","D","B","B","D","B","D","B","A","-","-","-","-","-","-","-","-","-","A","E","E","E","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D10","D","-","D","D","B","D","B","D","B","D","B","D","B","A","A","A","A","A","E","E","E","D","B","B","E","A","E","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","A","E","E","D","B","D","B","B","D","B","D","B","A","A","E","E","D","D","D","D"
"S1","A","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","E","E","D","B","-","B","E","-","-","-","-","-","-","-","-","-","-","-","A"
"S2","A","-","A","E","E","E","D","B","B","E","A","D","D","D","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","A","E","E","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S3","A","-","E","E","E","D","B","B","E","A","D","D","D","D","D","D","E","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","A","E","E","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","D","B","-","B","E","A","D","D","D","-","-","-","-","-","-","-","D"
"S5","A","-","D","D","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","A","E","E","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S1","A","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","E","E","D","B","-","B","E","-","-","-","-","-","-","-","-","-","-","-","A"
"S7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","E","E","D","B","-","B","E","-","-","-","-","-","-","-","-","-","-","-","A"
