"","1","I","2","3","I","4","I","5","I","6","7","I","I","I","I","I","I","I","I","I","I","I","I","8","9","I","I","I","I","I","I","I","I"
"D1","A","-","A","B","-","B","B","B","B","A","A","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","B","B","B","A","-","-","-"
"D2","A","-","A","B","-","B","-","B","A","A","A","A","B","B","B","B","B","A","A","-","-","-","-","A","A","B","B","-","-","-","-","-","-"
"D3","A","-","A","B","B","B","B","B","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","B","B","A","-","-","-","-"
"D4","A","-","A","B","-","B","B","B","B","A","A","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","B","B","B","A","A","A","A"
"D2","A","-","A","B","-","B","-","B","A","A","A","A","B","B","B","B","B","A","A","-","-","-","-","A","A","B","B","-","-","-","-","-","-"
"D6","A","-","A","B","B","B","B","B","B","A","A","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","B","B","B","B","A","A","-"
"D7","A","-","A","B","-","B","B","B","B","A","A","B","B","B","B","A","-","-","-","-","-","-","-","A","A","B","B","B","B","A","-","-","-"
"D8","A","-","A","B","-","B","B","B","B","A","A","B","B","B","A","A","A","A","B","B","B","B","A","A","A","A","-","-","-","-","-","-","-"
"D9","A","-","A","B","B","B","B","B","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","B","B","B","B","A","A","-"
"D10","A","-","A","B","B","B","B","B","B","A","A","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","B","B","B","B","A","A","-"
"S1","A","B","G","M","-","-","-","-","-","-","G","-","-","-","-","-","-","-","-","-","-","-","-","M","M","B","B","-","-","-","-","-","-"
"S2","B","-","G","M","-","B","B","B","B","A","A","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","B","B","-","-","-","-","-"
"S3","B","-","G","M","-","B","-","B","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","-","-","-","-","-","-","-"
"S4","M","-","G","M","B","B","B","B","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S5","D","-","G","M","B","M","B","B","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S6","D","M","G","M","-","B","-","B","B","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S7","B","-","G","M","-","B","-","B","B","A","A","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","-","-","-","-","-","-","-"
"S8","A","B","G","M","-","B","-","B","B","A","A","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-"
"S9","M","-","G","M","-","B","-","B","B","A","A","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","B","B","B","-","-","-","-"
