"","1","2","3","I","4","I","5","I","I","6","I","7","I","8","I","9","I","10","I","11","I","12","I","13","I","I","I","14","I","15","I","I","I","16","I","17","I","18","I","I","19","20","I","I","I","I","I","I","I","I","I","I","21","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I"
"D1","G","B","A","A","J","-","J","F","-","G","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","-","-","F","B","A","B","F","B","A","B","F","B","A","B","-","F","F","F","F","B","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D2","G","B","A","B","F","B","A","B","-","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","-","-","F","B","A","B","F","-","F","-","F","B","A","-","-","G","B","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","G","B","A","B","F","B","A","B","-","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","-","-","F","F","F","-","-","-","-","-","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","G","B","A","B","F","B","A","B","-","F","B","A","B","F","B","A","-","G","B","A","B","F","B","A","B","-","-","F","B","A","-","-","-","B","-","F","B","A","B","-","F","F","-","-","-","-","-","-","-","-","-","-","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D5","G","B","A","B","F","B","A","B","-","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","F","-","F","B","A","-","-","-","-","-","G","B","A","B","-","F","B","-","-","-","-","-","-","-","-","-","-","A","B","F","B","A","G","B","A","J","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","F","F","F"
"D6","G","B","A","B","F","B","A","B","-","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","-","-","F","F","F","-","-","-","-","-","G","B","A","B","-","F","B","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D7","G","B","A","B","F","-","J","-","-","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","-","-","-","G","B","A","-","-","-","-","-","G","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D8","G","B","A","B","F","B","A","B","-","F","B","A","B","F","B","A","B","F","-","F","-","F","B","A","-","-","-","G","B","A","-","-","-","-","-","G","B","A","B","-","F","B","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D9","G","B","A","B","F","B","A","B","-","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","-","-","F","B","A","-","-","-","-","-","G","B","A","A","-","J","F","G","B","A","B","F","B","A","B","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D10","G","B","A","J","F","B","A","B","-","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","F","F","F","B","A","-","-","-","-","-","F","B","A","B","-","F","B","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
