"","1","I","I","I","2","3","I","I","I","I","4","5","6","7","8","9","10","11","12","13","14","I","15","I","16","17","18","19","20","I","I","21","I","I","I","I","I","22","23","24","25","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","26","27","28","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I"
"D1","G","B","A","A","J","J","-","-","-","-","F","G","B","A","B","F","B","A","B","F","B","-","-","-","A","B","F","B","A","B","-","F","-","-","-","-","-","B","A","B","F","B","A","B","F","B","A","B","F","F","F","-","-","-","-","-","-","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D2","G","-","-","-","B","A","-","-","-","-","B","F","B","A","B","F","B","A","B","F","B","-","-","-","A","B","F","B","A","B","-","F","-","-","-","-","-","B","A","B","F","B","A","B","F","F","F","B","A","-","-","-","-","-","-","-","-","G","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","G","-","-","-","B","A","-","-","-","-","B","F","B","A","B","F","B","A","B","F","B","-","-","-","A","B","F","B","A","B","-","F","-","-","-","-","-","B","A","B","F","F","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","G","-","-","-","B","A","-","-","-","-","B","F","B","A","B","F","B","A","B","F","B","A","G","B","A","B","F","B","A","B","-","F","-","-","-","-","-","B","A","B","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","F","F","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D5","G","-","-","-","B","A","-","-","-","-","B","F","B","A","B","F","B","A","B","F","B","-","-","-","A","B","F","B","A","B","-","F","-","-","-","-","-","B","A","B","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","B","A","G","B","A","B","F","B","A","B","F","B","A","G","B","A","J","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","F","F","F"
"D6","G","-","-","-","B","A","-","-","-","-","B","F","B","A","B","F","B","A","B","F","B","-","-","-","A","B","F","B","A","B","-","F","-","-","-","-","-","B","A","B","F","F","F","G","B","A","B","-","-","-","-","-","-","-","-","-","-","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D7","G","-","-","-","B","A","B","F","-","-","J","F","B","A","B","F","B","A","B","F","B","-","-","-","A","B","F","B","A","-","-","G","-","-","-","-","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","G","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D8","G","-","-","-","B","A","-","-","-","-","B","F","B","A","B","F","B","A","B","F","B","-","-","-","A","B","F","F","F","B","A","G","-","-","-","-","-","B","A","G","B","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D9","G","-","-","-","B","A","-","-","-","-","B","F","B","A","B","F","B","A","B","F","B","-","-","-","A","B","F","B","A","B","-","F","-","-","-","-","-","B","A","B","F","B","A","G","B","A","A","J","F","G","B","A","B","F","B","A","B","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D10","G","-","-","-","B","A","-","-","-","-","J","F","B","A","B","F","B","A","B","F","B","-","-","-","A","B","F","B","A","B","-","F","-","-","-","-","-","B","A","B","F","F","F","B","A","F","B","A","B","-","-","-","-","-","-","-","-","F","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
