"","1","I","2","I","I","I","3","5","I","I","I","I","I","I","I","6","7","8","9","I","10","11","12","I","I","I","13","I","14","I","I","I","15","16","17","18","19","20","21","22","23","24","I","I","I","I","I","25"
"D1","A","B","B","B","-","-","B","A","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","-","-","-","A","-","B","-","-","-","-","A","B","A","B","A","B","A","B","A","B","A","B","A","B","A"
"D2","A","B","A","-","-","-","A","A","-","-","-","-","-","-","-","A","A","A","A","A","B","B","A","-","-","-","A","-","-","-","-","-","A","A","B","B","B","B","B","A","B","B","-","-","-","-","-","B"
"D3","A","B","B","B","B","B","B","A","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","B","B","-","A","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","-","-","B","B","-","-","A","A","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","-","-","-","A","-","B","B","B","B","G","A","B","A","B","A","B","A","B","A","-","-","-","-","-","B"
"D5","A","B","B","-","-","-","B","-","-","-","-","-","-","-","-","A","A","A","B","B","B","B","B","-","-","-","A","-","B","B","B","-","G","A","B","A","B","A","B","A","B","A","-","-","-","-","-","B"
"D6","A","B","B","-","-","-","B","-","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","B","-","-","A","-","B","B","-","-","G","A","B","A","B","A","B","A","B","A","B","A","B","A","B","G"
"D7","D","A","B","B","B","B","B","A","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","B","B","-","A","-","B","B","B","B","G","A","B","A","B","A","B","A","B","-","-","-","-","-","-","-"
"D8","A","B","B","-","-","-","B","-","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","B","B","-","A","-","B","B","B","-","G","A","B","A","B","A","B","-","-","-","-","-","-","-","-","-"
"D9","A","B","B","-","-","-","B","-","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","-","-","-","A","-","B","B","-","-","G","A","B","A","B","A","B","A","B","A","B","A","B","-","-","A"
"D10","A","B","B","-","-","-","B","A","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","B","B","B","A","-","B","B","-","-","G","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S1","A","-","A","-","-","-","A","A","-","-","-","-","-","-","-","A","A","A","A","A","B","B","B","-","-","-","A","-","-","-","-","-","-","A","A","A","B","B","B","-","B","A","-","-","-","-","-","B"
"S2","A","B","B","B","-","-","B","-","-","-","-","-","-","-","-","A","A","A","A","-","B","B","B","-","-","-","A","-","B","-","-","-","G","A","B","A","B","A","B","A","B","A","-","-","-","-","-","B"
"S3","A","B","B","B","-","-","B","-","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","-","-","-","A","-","B","-","-","-","G","A","B","A","B","A","B","A","B","-","-","-","-","-","-","-"
"S4","A","-","A","-","-","-","A","A","B","B","B","-","-","-","-","A","A","A","A","B","B","B","B","-","-","-","A","-","B","-","-","-","G","A","B","A","B","A","B","A","B","-","-","-","-","-","-","-"
"S5","A","A","A","-","-","-","A","A","A","A","A","A","B","B","B","A","A","A","A","B","B","B","B","-","-","-","A","-","B","-","-","-","G","A","B","A","B","A","B","A","B","A","-","-","-","-","-","B"
"S6","A","-","-","-","-","-","B","A","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","-","-","-","A","-","-","-","-","-","G","A","B","A","B","A","B","A","B","A","-","-","-","-","-","B"
"S7","A","A","B","B","-","-","B","A","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","-","-","-","A","-","B","-","-","-","G","A","B","A","B","A","B","A","B","A","-","-","-","-","-","B"
"S8","A","B","B","-","-","-","B","-","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","-","-","-","A","-","B","-","-","-","G","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S9","A","B","B","-","-","-","B","A","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","-","-","-","A","-","B","-","-","-","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-","A"
"S10","A","B","B","B","-","-","B","-","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","-","-","-","A","-","B","-","-","-","G","A","B","A","B","A","B","-","-","-","-","-","-","-","-","-"
