"","1","I","2","I","I","3","4","5","I","6","7","8","9","10","11","I","12","13","14","I","I","15","I","I","I","I","16","17","18","19","20","I","I","I","I","I","I","I","I","I","I","I","I","I"
"D1","A","-","-","-","-","B","B","B","B","A","A","A","-","A","A","B","B","B","B","A","-","B","A","-","-","-","B","-","A","B","A","B","A","B","A","B","A","B","A","B","A","-","-","-"
"D2","A","-","-","-","-","-","-","B","A","A","A","A","A","A","A","A","B","B","-","-","-","-","-","-","-","-","-","-","A","A","A","A","B","B","B","B","B","A","B","B","B","-","-","-"
"D3","A","-","B","B","-","B","B","B","B","A","A","A","-","A","A","B","B","B","B","B","-","B","A","-","-","-","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","-","-","-","-","-","-","B","B","A","A","A","A","-","A","A","B","B","B","B","A","-","B","B","B","-","-","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-","-","-"
"D5","A","-","-","-","-","-","B","B","B","A","A","-","-","A","B","B","B","B","B","A","-","B","B","-","-","-","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-","-","-"
"D6","A","-","-","-","-","-","B","B","B","A","A","-","-","A","A","B","B","B","B","-","-","B","A","B","-","-","B","G","A","B","A","B","A","B","A","B","A","B","A","B","A","B","G","-"
"D7","D","-","A","B","-","B","B","B","B","A","A","A","-","A","A","B","B","B","B","B","-","B","A","B","B","B","B","G","A","B","A","B","A","B","A","B","-","-","-","-","-","-","-","-"
"D8","A","-","-","-","-","-","B","B","B","A","A","A","-","A","B","B","B","B","B","B","A","B","B","-","-","-","B","G","A","B","A","B","A","B","-","-","-","-","-","-","-","-","-","-"
"D9","A","-","-","-","-","-","B","B","B","A","A","-","-","A","A","B","B","B","B","A","-","B","-","-","-","-","B","G","A","B","A","B","A","B","A","B","A","B","A","B","A","-","-","-"
"D10","A","-","-","-","-","-","B","B","B","A","A","A","-","A","A","B","B","B","B","B","-","B","B","A","B","-","B","G","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S1","A","-","-","-","-","-","-","-","-","-","-","A","-","A","A","B","B","B","B","-","-","-","-","-","-","-","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-","-","-"
"S2","A","A","A","A","B","B","B","B","B","A","A","A","-","A","A","A","B","B","B","-","-","B","A","-","-","-","B","G","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S3","A","A","A","A","-","B","B","B","B","A","A","A","-","A","A","A","B","B","B","B","-","B","A","-","-","-","B","G","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S4","A","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","B","-","-","B","B","-","-","-","B","G","A","B","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
"S5","A","A","A","A","B","B","B","B","B","A","A","A","-","A","A","B","B","B","B","B","-","B","A","-","-","-","B","G","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S6","A","-","-","-","-","B","B","B","B","A","A","A","A","A","A","A","B","B","B","B","-","B","A","-","-","-","B","G","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S7","A","-","A","A","-","B","B","B","B","A","A","A","-","A","A","A","B","B","B","-","-","B","A","-","-","-","B","G","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S8","A","A","A","B","-","B","B","B","B","A","A","A","-","A","A","B","B","B","B","-","-","B","A","-","-","-","B","G","A","B","A","B","A","B","-","-","-","-","-","-","-","-","-","-"
"S9","A","A","A","A","B","B","B","B","B","A","A","A","-","A","A","-","B","B","B","-","-","B","A","-","-","-","B","G","A","B","A","B","A","B","A","B","A","B","A","B","-","-","-","-"
"S10","A","-","-","-","-","-","-","-","-","-","-","A","-","A","-","-","-","-","B","-","-","B","B","-","-","-","B","G","A","B","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
