"","1","I","I","I","2","3","4","5","6","7","8","9","I","10","I","11","I","I","12","15","I","16","I","I","I","17","18","19","20","21","22","23","24","I","I","I","I","I","I","I","25"
"D1","A","B","-","-","B","B","B","A","A","A","A","A","B","B","B","B","A","-","B","A","-","B","-","-","-","-","A","B","A","B","A","B","A","B","A","B","A","B","-","-","A"
"D2","A","-","-","-","B","A","A","A","A","A","A","A","A","B","-","-","-","-","B","A","-","A","-","-","-","A","A","B","B","B","B","B","A","B","B","-","-","-","-","-","B"
"D3","A","B","B","B","B","B","B","A","A","A","A","A","B","B","B","B","B","-","B","A","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","-","-","-","-","B","B","A","A","A","A","A","A","B","B","-","B","-","-","B","A","-","B","B","B","B","G","A","B","A","B","A","B","A","B","A","-","-","-","-","-","B"
"D5","A","-","-","-","B","B","B","-","-","A","A","A","B","B","B","B","-","-","B","A","-","B","B","B","-","G","A","B","A","B","A","B","A","B","A","-","-","-","-","-","B"
"D6","A","-","-","-","B","B","B","-","A","A","A","A","B","B","B","B","-","-","B","A","-","B","B","-","-","G","A","B","A","B","A","B","A","B","A","B","A","B","A","B","G"
"D7","D","A","B","B","B","B","B","A","A","A","A","A","B","B","B","B","B","-","B","A","-","B","B","B","B","G","A","B","A","B","A","B","A","-","-","-","-","-","-","-","B"
"D8","A","-","-","-","B","B","B","-","A","A","A","A","B","B","B","B","B","-","B","A","-","B","B","B","-","G","A","B","A","B","A","B","-","-","-","-","-","-","-","-","-"
"D9","A","-","-","-","B","B","B","-","A","A","A","A","B","B","-","B","-","-","B","A","-","B","B","-","-","G","A","B","A","B","A","B","A","B","A","B","A","B","-","-","A"
"D10","A","-","-","-","B","B","B","A","A","A","A","A","B","B","B","B","B","B","B","A","-","B","B","-","-","G","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S1","A","-","-","-","B","B","B","B","A","A","A","A","B","B","B","B","-","-","B","A","-","B","-","-","-","G","A","B","A","B","A","B","A","-","-","-","-","-","-","-","B"
"S2","A","-","-","-","B","B","B","B","A","A","A","A","B","B","-","B","-","-","B","A","-","B","-","-","-","G","A","B","A","B","A","B","-","-","-","-","-","-","-","-","-"
"S3","A","-","-","-","B","B","B","-","A","A","A","A","B","B","-","B","-","-","B","A","-","B","-","-","-","G","A","B","A","B","A","B","A","B","A","-","-","-","-","-","B"
"S4","A","-","-","-","B","B","B","-","A","A","A","A","B","B","B","B","-","-","B","A","-","B","-","-","-","G","A","B","A","B","A","B","A","B","A","-","-","-","-","-","B"
"S5","A","-","-","-","B","B","B","A","A","A","A","A","B","B","B","B","-","-","B","A","-","B","-","-","-","G","A","B","A","B","A","B","A","-","-","-","-","-","-","-","B"
