"","I","I","I","I","I","1","2","3","I","I","I","I","I","I","I","I","I","I","I","4","5","I","I","I","I","I","I","6","7","8","9","10","11","12","13","I","14","15","16","17","18","I","19","I","20","21","22","23","24","25","26","27","28","29","30","I","I","31","I","32","I","I","I","I","I","I"
"D1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","E","A","E","A","E","A","E","A","E","-","-","E","D","B","-","-","-","-","-","-"
"D2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","E","E","E","D","B","D","B","B","E","A","E","A","E","A","E","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","A","D","-","-","-","B","D","B","D","B","A","A","A","A","A","A","E","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","D","B","D","B","B","E","A","E","A","E","A","E","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","A","D","-","-","-","B","D","B","D","B","A","A","A","A","A","A","E","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","D","B","D","B","B","E","A","E","A","E","A","E","-","-","-","-","E","D","B","D","B","-","-","-","-"
"D5","D","B","A","D","-","B","D","B","A","A","A","A","A","A","E","-","-","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D6","D","B","A","D","-","B","D","B","D","B","A","A","A","A","A","A","E","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","D","B","D","B","B","E","A","E","A","E","A","E","A","E","-","-","E","-","-","-","-","-","-","-","-"
"D7","D","-","-","-","-","B","D","B","D","B","D","B","A","A","A","A","A","A","E","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","D","B","D","B","B","E","A","E","A","E","A","E","A","E","-","-","E","D","B","D","B","-","-","-","-"
"D8","D","-","-","-","-","B","D","B","D","B","A","A","A","A","E","-","-","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","D","B","D","B","B","E","A","E","A","E","A","E","-","-","-","-","E","-","D","-","-","-","-","-","-"
"D9","A","D","B","A","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","D","B","A","A","A","A","A","E","D","B","D","B","D","B","D","B","-","A","A","E","E","E","D","B","D","B","B","E","A","E","A","E","A","E","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D10","A","D","-","-","-","B","D","B","D","B","A","A","A","A","A","A","E","D","B","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","D","B","D","B","B","E","A","E","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S1","A","A","E","-","-","B","D","B","-","-","-","-","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","-","B","-","B","B","E","A","E","A","E","A","E","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S2","-","-","-","-","-","B","D","B","-","-","-","-","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","-","B","-","B","B","E","A","E","A","E","A","E","A","E","-","-","E","-","B","-","-","-","-","-","-"
"S3","-","-","-","-","-","B","D","B","-","-","-","-","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","-","B","-","B","B","E","A","E","A","E","A","E","A","E","-","-","-","-","-","-","-","-","-","-","-"
"S4","D","B","D","-","-","B","D","B","-","-","-","-","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","-","B","-","B","B","E","A","E","A","E","A","E","A","E","-","-","E","B","B","-","-","-","-","-","-"
"S5","-","-","-","-","-","B","D","B","-","-","-","-","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","-","B","-","B","B","E","A","E","A","E","A","E","A","E","-","-","E","B","B","D","B","D","B","D","B"
"S6","D","-","-","-","-","B","D","B","-","-","-","-","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","-","B","-","B","B","E","A","E","A","E","A","E","A","E","-","-","E","B","B","-","-","-","-","-","-"
"S7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","-","B","-","B","B","E","A","E","A","E","A","E","A","E","-","-","E","B","B","D","B","D","B","-","-"
"S8","B","D","-","-","-","B","D","B","-","-","-","-","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","-","B","-","B","B","E","A","E","A","E","A","E","A","E","A","E","E","B","B","-","-","-","-","-","-"
"S9","A","D","-","-","-","B","D","B","A","A","A","A","E","B","-","-","-","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","B","A","A","E","E","E","-","B","-","B","B","E","A","E","A","E","A","E","A","E","-","-","E","B","B","-","-","-","-","-","-"
"S10","A","A","E","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","D","B","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","A","A","E","E","E","-","B","-","B","B","E","A","E","A","E","A","E","A","E","-","-","E","-","B","-","-","-","-","-","-"
