"","1","2","I","I","I","I","I","I","I","I","I","I","I","I","I","3","4","5","6","7","I","8","I","I","I","I","I","I","I","I","I","I","9","10","11","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","12","I","13","I","14","I","I","I","15","I","16","17","I","I","I","I","I","I","I","I","I","I","I","I","18","I","I","I","I","I","I","I","I","I","I","I","I"
"D1","A","A","A","A","E","E","-","-","-","-","-","-","-","-","-","E","E","E","D","E","A","E","A","E","A","E","A","E","A","E","A","-","E","D","D","A","A","A","A","A","A","E","E","E","D","E","A","E","A","E","A","E","A","E","A","-","-","-","E","-","E","D","-","-","-","-","-","-","-","-","-","-","-","-","D","-","-","-","-","-","-","-","-","-","-","-","-"
"D2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","A","E","A","E","A","E","A","E","A","E","-","-","-","-","E","D","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","E","-","E","E","-","-","-","-","-","-","-","-","-","-","-","-","D","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","E","D","E","A","E","A","-","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","A","E","A","-","-","-","E","-","E","D","-","-","-","-","-","-","-","-","-","-","-","-","D","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","E","D","E","A","E","A","E","A","E","A","E","A","E","-","-","E","D","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","-","E","-","E","E","-","-","-","-","-","-","-","-","-","-","-","-","D","E","A","E","A","E","A","E","A","E","A","E","A"
"D5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","A","E","A","-","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","A","E","A","E","-","-","E","-","E","D","-","-","-","-","-","-","-","-","-","-","-","-","D","A","-","-","-","-","-","-","-","-","-","-","-"
"D6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","E","D","E","A","E","A","E","A","E","A","E","-","-","-","-","E","D","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","E","-","E","-","E","E","-","-","-","-","-","-","-","-","-","-","-","-","D","-","-","-","-","-","-","-","-","-","-","-","-"
"D7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","A","E","A","E","A","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","A","E","A","-","-","-","E","A","E","E","-","-","-","-","-","-","-","-","-","-","-","-","D","-","-","-","-","-","-","-","-","-","-","-","-"
"D8","A","A","A","A","E","E","-","-","-","-","-","-","-","-","-","E","E","E","D","E","A","E","A","-","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","A","E","A","-","-","-","E","-","E","D","-","-","-","-","-","-","-","-","-","-","-","-","D","A","A","-","-","-","-","-","-","-","-","-","-"
"D9","A","A","A","A","E","E","-","-","-","-","-","-","-","-","-","E","E","E","D","E","A","E","A","E","A","E","A","E","A","E","A","E","E","D","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","E","-","E","-","E","E","-","-","-","-","-","-","-","-","-","-","-","-","D","-","-","-","-","-","-","-","-","-","-","-","-"
"D10","A","A","A","A","E","-","-","-","-","-","-","-","-","-","-","E","E","E","D","E","A","E","A","-","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","E","A","E","A","-","-","-","E","-","E","D","-","-","-","-","-","-","-","-","-","-","-","-","D","-","-","-","-","-","-","-","-","-","-","-","-"
