"","1","2","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","3","I","I","I","I","I","I","I","I","I","I","I","I","I","4","5","I","6","I","I","I"
"D1","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D1","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A"
"D4","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A"
"D6","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D","A","A","A","A","-","-"
"D4","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A"
"D10","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S1","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S2","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S3","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S4","D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S5","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S6","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S7","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","A","A","A","A","A","A","A","-","-","-","-","-","-","A","-","-","-","-","-","-"
"S8","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S5","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S10","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
