"","1","I","I","I","I","I","I","I","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","I","I","I","I"
"D1","A","A","A","A","A","A","A","A","A","B","B","B","-","A","A","A","A","B","B","B","B","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D2","A","-","-","-","-","-","-","-","-","B","B","B","B","A","A","A","A","-","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-"
"D3","A","-","-","-","-","-","-","-","-","B","B","B","B","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","-","-","-","-","-","-"
"D4","A","A","A","-","-","-","-","-","A","B","B","B","-","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","-","-","-","-","-","-"
"D5","A","A","A","A","A","A","A","A","A","B","B","B","-","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-"
"D6","A","-","-","-","-","-","-","-","-","B","-","-","A","A","A","A","A","B","B","B","B","A","-","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-"
"D7","A","-","-","-","-","-","-","-","A","B","B","B","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-"
"D8","A","-","-","-","-","-","-","-","-","B","B","B","-","A","A","A","A","B","B","B","B","A","B","G","A","B","-","-","-","-","-","-","-","-","-","-","-","-"
"D9","A","-","-","-","-","-","-","-","-","B","B","B","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","A","-","-","-"
"D10","A","-","-","-","-","-","-","-","-","B","B","B","B","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","-","-","-","-","-","-","-","-"
"S1","A","A","-","-","-","-","-","-","A","B","B","-","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-"
"S2","A","-","-","-","-","-","-","-","-","B","A","-","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-"
"S3","D","-","-","-","-","-","-","-","A","B","B","B","-","A","A","A","A","-","B","B","B","A","B","G","A","B","A","B","A","B","A","B","-","-","-","-","-","-"
"S4","A","-","-","-","-","-","-","-","-","B","-","-","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
"S5","A","-","-","-","-","-","-","-","-","B","B","-","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-"
"S6","A","-","-","-","-","-","-","-","-","B","B","B","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","A","B","-","-"
"S7","A","-","-","-","-","-","-","-","-","B","B","B","-","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","A","B","-","-"
"S8","D","A","A","-","-","-","-","-","A","B","B","B","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
"S9","A","-","-","-","-","-","-","-","-","B","B","B","-","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","-","-","-","-","-","-"
"S10","A","-","-","-","-","-","-","-","-","B","B","B","-","-","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-","-"
