"","I","I","I","I","I","I","I","I","1","3","4","5","6","9","I","10","I","I","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","I","26","I","I","27"
"D1","A","A","A","A","A","A","A","A","A","B","B","B","-","A","A","A","A","-","B","B","B","B","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D2","-","-","-","-","-","-","-","-","A","B","B","B","-","B","A","A","A","-","A","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-"
"D3","-","-","-","-","-","-","-","-","A","B","B","B","B","A","A","A","A","-","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","-","-","-","-","-"
"D4","A","A","A","-","-","-","-","-","A","B","B","B","-","A","A","A","A","-","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","-","-","-","-","-"
"D5","A","A","A","A","A","A","A","A","A","B","B","B","-","A","A","A","A","-","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-"
"D6","-","-","-","-","-","-","-","-","A","-","B","A","-","A","A","A","A","-","B","B","B","B","A","-","G","A","B","A","B","A","B","A","B","A","B","-","-","-"
"D7","A","-","-","-","-","-","-","-","A","B","B","B","-","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","-"
"D8","-","-","-","-","-","-","-","-","A","B","B","B","-","A","A","A","A","-","B","B","B","B","A","B","G","A","B","-","-","-","-","-","-","-","-","-","-","-"
"D9","-","-","-","-","-","-","-","-","A","B","B","B","-","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","A"
"D10","-","-","-","-","-","-","-","-","A","B","B","B","B","A","A","A","A","-","B","B","B","B","A","B","G","A","B","A","B","A","B","-","-","-","-","-","-","-"
"S1","A","A","A","A","-","-","-","-","A","B","B","B","-","A","-","A","A","-","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","-","-","-","-","G"
"S2","-","-","-","-","-","-","-","-","A","B","B","A","-","A","A","A","A","-","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","A","B","G"
"S3","-","-","-","-","-","-","-","-","A","B","B","B","-","A","-","A","A","-","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","G"
"S4","-","-","-","-","-","-","-","-","A","B","B","B","-","A","A","A","A","-","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","-","-","G"
"S5","-","-","-","-","-","-","-","-","A","B","B","B","-","A","A","A","A","-","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","-","-","-","-","G"
