"","1","2","3","4","5","6","7","8","9","13","I","I","I","I","I","I","I","I","I","I","I","I","14","I","15","I","16","I","17","24","25","26","27","28","29","30","31","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","32","33","34","35","36","37","38","I","I","I","I","I","I","I","I","I","I","I","I","39","40","41","I","42","43","44","45","46","I","I","I","I","I","I","I","I","I","I","I","I","I","I","47","I","48","49","50","51","52"
"D1","A","A","A","-","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D2","A","A","A","-","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","-","-","-","-","-","-"
"D3","A","A","A","-","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","-","-","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","H"
"D4","A","A","A","-","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D5","A","A","A","A","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","A","B","A","C","C","C","C","C","C","C","-","-","-","-","-","-","-","C","-","-","-","-","-","-"
"D6","A","A","A","A","-","-","-","-","-","A","C","C","C","C","C","C","C","C","-","-","-","-","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","A","B","A","C","C","C","C","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","-"
"D7","A","A","A","-","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","-","-","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D8","A","A","A","-","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D9","A","A","A","A","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D10","A","A","A","A","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","-","-","-","-","-","-"
"S1","A","A","A","A","A","A","A","A","-","A","C","C","C","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","E","E","C","B","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","A","A","A","C","C","C","C","C","C","C","C","-","-","-","-","-","-","C","C","E","E","C","B","H"
"S2","A","A","A","A","-","-","-","-","-","A","C","C","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","E","E","C","B","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","-","-","-","E","-","E","C","B","H","A","B","A","C","C","C","C","C","-","-","-","-","-","-","-","-","-","C","C","E","E","C","B","H"
"S3","A","A","A","A","A","A","A","-","-","A","C","C","C","C","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","E","E","C","B","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","E","-","E","C","B","H","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S4","A","A","A","A","A","A","A","A","-","A","C","C","C","C","C","-","-","-","-","-","-","-","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S5","A","A","A","A","A","A","-","-","-","A","C","C","C","C","C","-","-","-","-","-","-","-","C","C","C","C","C","C","C","E","E","C","B","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","C","C","C","C","C","C","C","-","-","-","-","-","-","-","C","C","E","E","C","B","-"
"S6","A","A","A","A","A","A","A","A","-","A","C","C","C","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","A","B","A","C","-","-","-","-","-","-","-","-","-","-","-","-","-","C","-","-","-","-","-","-"
"S7","A","A","A","A","A","A","A","A","-","A","C","C","C","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","E","E","C","B","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S8","A","A","A","A","A","A","A","A","-","A","C","C","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","E","E","C","B","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","C","C","C","C","C","C","C","-","-","-","-","-","-","-","C","C","E","E","C","B","H"
"S9","A","A","A","A","A","A","-","-","-","A","C","C","C","C","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","A","B","A","C","C","C","C","C","C","-","-","-","-","-","-","-","-","C","C","E","E","C","B","-"
"S10","A","A","A","A","A","A","A","A","A","A","C","C","C","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","B","H","A","B","A","C","C","C","C","C","C","-","-","-","-","-","-","-","-","C","C","E","E","C","B","H"
