"","1","2","3","4","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","5","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","6","I","I","7","8","9","10","11","I","I","I","I","I","I","I","I","I","I","I","I","I","I","12","13","I","14","15","16","17","18","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","19","20","I","I","21","22","23","24","25","I","I","I","I","I","I","I","I","I","I","I","I"
"D1","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","E","C","-","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D2","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","E","C","-","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","-","-"
"D3","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","C","-","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","E","C","-","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D4","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","E","C","-","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D5","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","E","C","-","B","H","A","B","A","C","C","C","C","C","C","C","C","-","-","-","-"
"D6","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","E","C","-","B","H","A","B","A","C","C","C","C","C","-","-","-","-","-","-","-"
"D7","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","C","-","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D8","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","E","C","-","B","H","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D9","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","-","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D10","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","E","C","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","E","E","C","-","B","H","A","B","A","C","C","C","C","C","C","C","C","C","C","C","C"
"S1","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-"
"S2","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-","-","B","H","A","B","A","A","-","-","-","-","-","-","-","-","-","-","-"
"S3","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-"
"S4","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","-","B","H","A","B","A","A","A","-","-","-","-","-","-","-","-","-","-"
"S5","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-","-","-","-","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-"
"S6","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","-","B","H","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S7","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","-","B","H","A","B","A","A","-","-","-","-","-","-","-","-","-","-","-"
"S8","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","A","A","A","A","A","B","H","-","-","-","-","-","-","-","-","-","-","-","-"
"S9","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-","-","B","H","A","B","A","A","A","-","-","-","-","-","-","-","-","-","-"
