"","1","3","I","I","I","I","I","I","I","I","I","I","I","I","4","5","6","7","I","8","9","I","10","11","I","I","I","I","I","I","I","I","I","12","I","13","I","14","I","I","I","I","I","15","I","16","I","17","18","19","I","I","I","20"
"D1","A","A","A","A","-","-","-","-","-","-","-","-","-","-","B","B","B","B","-","B","G","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","B","-","-","-","-"
"D2","A","A","A","A","-","-","-","-","-","-","-","-","-","-","B","B","B","B","-","-","-","-","B","A","A","A","A","A","A","-","-","-","-","B","-","B","-","-","-","-","-","-","-","-","-","B","-","B","A","B","-","-","-","G"
"D3","A","A","A","A","-","-","-","-","-","-","-","-","-","-","B","B","B","-","-","-","-","-","B","A","A","A","A","A","A","-","-","-","-","B","-","B","-","-","-","-","-","-","-","-","-","B","B","B","A","B","-","-","-","G"
"D4","A","A","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","-","-","G","A","B","A","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","-","-","-","-","B","A","B","A","B","A","B","-","-","-","-"
"D5","A","A","A","A","-","-","-","-","-","-","-","-","-","-","B","B","B","B","-","-","-","-","B","A","A","A","A","A","-","-","-","-","-","B","-","B","-","-","-","-","-","-","-","B","B","B","-","B","A","B","-","-","-","G"
"D6","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","-","-","-","-","B","A","A","A","A","A","A","A","-","-","-","B","-","B","-","-","-","-","-","-","-","-","-","B","B","B","A","B","-","-","-","G"
"D7","A","A","A","-","-","-","-","-","-","-","-","-","-","-","B","B","B","-","-","-","-","-","B","A","A","A","A","A","A","-","-","-","-","B","-","B","-","-","-","-","-","-","-","-","-","B","-","B","A","B","-","-","-","G"
"D8","A","A","A","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","-","-","-","-","B","A","A","A","A","A","-","-","-","-","-","B","B","B","B","B","A","B","-","-","-","G","A","B","A","B","A","B","-","-","-","-"
"D9","A","A","A","A","B","B","B","B","B","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","-","-","-","B","A","B","A","B","A","B","-","-","-","-"
"D10","A","A","A","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","-","-","G","A","B","A","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","-","-","-","-","B","A","B","A","B","A","B","-","-","-","-"
"S1","A","A","A","A","A","A","A","A","A","A","A","A","-","-","B","B","B","B","A","B","G","A","B","A","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","-","-","-","-","B","A","B","A","B","A","B","-","-","-","G"
"S2","A","A","A","A","A","A","A","A","A","A","A","-","-","-","B","B","B","B","A","B","G","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","-","-","-","-","-"
"S3","A","A","A","A","A","A","A","A","A","A","A","A","A","-","B","B","B","B","A","B","G","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","-","-","-","B","A","B","A","B","A","B","-","-","-","G"
"S4","A","A","A","A","A","A","A","A","A","A","A","-","-","-","B","B","B","B","A","B","G","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","B","A","A","A","A"
"S5","A","A","A","A","A","A","A","A","A","A","A","-","-","-","B","B","B","B","A","B","G","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","-","-","-","-"
"S2","A","A","A","A","A","A","A","A","A","A","A","-","-","-","B","B","B","B","A","B","G","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","-","-","-","-","-"
"S7","A","A","A","A","A","A","A","A","A","A","A","-","-","-","B","B","B","B","A","B","G","A","B","A","B","A","B","A","B","A","B","A","B","G","A","B","A","B","A","-","-","-","-","B","A","B","A","B","A","B","-","-","-","G"
"S8","D","A","A","A","A","A","A","A","A","A","A","-","-","-","B","B","B","B","A","B","G","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","B","-","-","-","-"
"S9","A","A","A","A","A","A","A","A","A","A","A","A","-","-","B","B","B","B","A","B","G","A","B","A","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","A","A","A","A","B","B","B","-","B","A","B","-","-","-","G"
"S10","A","A","A","A","A","A","A","A","A","A","A","A","A","A","B","B","B","B","A","B","G","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","-","-","-","-"
