"","I","1","I","I","I","I","2","I","3","4","5","I","6","7","8","9","10","I","11","13","14","I","15","I","16","I","17","18","19","20","I","I","I","I","I","I","I","I","21","22","I","23","I","24","I","25","26","I","27","I","I","I","I","I"
"D1","-","A","-","-","-","-","-","-","J","J","F","-","G","-","-","-","B","A","B","F","-","-","-","-","B","A","B","-","F","F","-","-","-","-","-","-","-","-","F","B","A","B","F","F","-","F","B","A","B","-","-","-","-","-"
"D2","-","B","A","-","-","-","A","A","J","J","F","A","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","F","F","-","-","-","-","-","-","-","-","F","-","-","-","-","F","-","F","B","-","-","-","-","-","-","-"
"D3","-","B","A","-","-","-","A","A","J","J","F","-","G","-","-","-","B","A","B","F","B","A","B","F","B","A","B","-","F","F","-","-","-","-","-","-","-","-","F","B","A","B","-","F","-","F","B","A","B","F","F","-","-","-"
"D4","-","B","B","A","-","-","A","A","J","J","F","A","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","F","F","F","-","-","-","-","-","-","-","F","B","A","B","F","F","-","F","B","-","-","-","-","-","-","-"
"D5","A","J","-","-","-","-","-","-","J","J","F","-","G","-","-","-","B","A","B","F","B","A","B","F","B","A","B","-","F","F","-","-","-","-","-","-","-","-","F","B","A","B","F","F","-","F","B","-","-","-","-","-","-","-"
"D6","-","B","A","A","-","-","A","A","J","J","F","A","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","F","F","-","-","-","-","-","-","-","-","F","B","A","B","F","F","-","F","B","A","B","-","-","-","-","-"
"D7","-","D","B","-","-","-","A","A","J","J","F","-","G","-","-","-","B","A","B","F","B","A","B","F","B","A","B","-","F","F","-","-","-","-","-","-","-","-","F","B","A","B","F","F","-","F","B","A","B","F","F","-","-","-"
"D8","-","B","A","A","-","-","A","A","J","J","F","-","G","-","-","-","B","A","B","F","B","A","B","F","B","A","B","-","F","F","F","B","A","B","F","F","-","-","F","B","A","B","F","F","-","F","B","A","B","-","-","-","-","-"
"D9","-","B","A","A","-","-","A","A","J","J","F","-","G","-","-","-","B","A","B","F","B","A","B","F","B","A","B","-","F","F","-","-","-","-","-","-","-","-","F","B","A","B","F","F","-","F","B","A","B","-","-","-","-","-"
"D10","-","B","A","-","-","-","A","A","J","J","F","-","G","-","-","-","B","A","B","F","B","A","B","F","B","A","B","-","F","F","-","-","-","-","-","-","-","-","F","B","A","B","F","F","-","F","B","A","B","F","F","-","-","-"
"S1","-","A","A","-","-","-","A","-","-","-","F","-","G","-","-","A","-","-","-","F","-","-","-","-","-","-","-","A","-","F","A","A","A","A","A","A","A","-","F","-","-","-","-","F","-","F","F","A","A","A","A","A","-","-"
"S2","-","A","A","A","-","-","A","-","-","-","F","-","G","A","F","A","-","-","-","F","-","-","-","-","-","-","-","A","F","F","F","A","A","A","A","A","A","-","F","G","A","F","A","F","A","F","F","F","A","A","A","A","-","-"
"S3","-","A","A","A","-","-","A","-","-","-","F","-","G","A","F","A","-","-","-","F","-","-","-","-","-","-","-","A","F","F","A","A","A","A","A","A","A","-","F","G","A","F","A","F","-","-","-","-","A","-","-","-","-","-"
"S4","-","A","A","-","-","-","A","A","A","F","F","-","G","-","-","A","-","-","-","F","-","-","-","-","-","-","-","A","-","F","A","A","A","A","A","A","A","-","F","G","A","F","A","F","-","F","A","A","A","-","-","-","-","-"
"S5","-","A","A","-","-","-","F","-","-","-","F","-","G","-","-","A","-","-","-","F","-","-","-","-","-","-","-","A","-","F","A","A","A","A","A","-","-","-","F","G","A","F","A","F","A","F","F","F","F","A","A","A","A","-"
"S6","-","A","A","A","-","-","A","-","-","-","F","-","G","-","-","A","-","-","-","F","-","-","-","-","-","-","-","A","-","F","A","A","A","A","A","A","A","-","F","G","A","F","A","F","A","F","F","A","A","A","-","-","-","-"
"S7","-","A","A","A","A","A","A","-","-","-","F","-","G","-","-","A","-","-","-","F","-","-","-","-","-","-","-","A","-","F","A","A","A","A","A","A","-","-","F","G","A","F","A","F","-","-","-","-","A","A","A","A","A","A"
"S8","-","A","-","-","-","-","A","-","-","-","F","-","G","A","F","A","-","-","-","F","-","-","-","-","-","-","-","A","F","F","F","A","A","A","A","A","A","A","F","G","A","F","A","F","-","-","-","-","A","A","-","-","-","-"
"S9","-","A","A","-","-","-","A","A","A","F","F","-","G","A","F","A","-","-","-","F","-","-","-","-","-","-","-","A","F","F","A","A","A","A","A","-","-","-","F","G","A","F","A","F","-","F","A","-","-","-","-","-","-","-"
"S10","-","A","A","-","-","-","A","A","F","F","F","-","G","-","-","A","-","-","-","F","-","-","-","-","-","-","-","A","-","F","A","A","A","A","A","-","-","-","F","G","A","F","A","F","-","F","F","A","A","-","-","-","-","-"
