"","1","I","I","2","3","4","5","6","I","7","I","8","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","9","10","11","12","I","I","I","I","I","I","I","I","13","14","15","16","17","18","19","20","21","22","23","24","I","I","I","I","I","I","I","I","I","I","I","I","25","26","27","I","I","I","I","I","I","I","I","I","I"
"D1","D","-","-","A","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","D","-","-","-","-","-","-","-","-","B","D","B","D","B","D","B","D","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","B","D","B","D","B","-","-","-","-","-","-","-","-"
"D2","D","-","-","A","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","D","B","D","B","D","B","D","-","-","B","D","B","D","B","D","B","D","K","D","E","D","-","-","-","-","-","-","-","-","-","-","-","-","K","D","E","D","B","-","-","-","-","-","-","-","-"
"D3","D","-","-","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","D","B","D","-","-","-","-","-","-","B","D","B","D","B","D","B","D","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","K","D","E","-","-","-","-","-","-","-","-","-","-"
"S1","D","-","-","A","D","A","D","A","D","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","D","B","D","B","D","-","-","-","-","B","D","B","D","B","D","B","D","K","D","E","D","-","-","-","-","-","-","-","-","-","-","-","-","K","D","E","D","B","D","B","D","B","-","-","-","-"
"S2","D","-","-","A","D","A","D","A","D","A","D","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","D","B","D","B","D","-","-","-","-","B","D","B","D","B","D","B","D","K","D","E","D","-","-","-","-","-","-","-","-","-","-","-","-","K","D","E","D","B","D","B","D","B","-","-","-","-"
"S3","D","D","-","A","D","A","D","A","D","A","D","A","D","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","E","D","E","D","B","D","B","D","-","-","-","-","B","D","B","D","B","D","B","D","K","D","E","D","-","-","-","-","-","-","-","-","-","-","-","-","K","D","E","-","-","-","-","-","-","-","-","-","-"
"S2","D","-","-","A","D","A","D","A","D","A","D","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","D","B","D","B","D","-","-","-","-","B","D","B","D","B","D","B","D","K","D","E","D","-","-","-","-","-","-","-","-","-","-","-","-","K","D","E","D","B","D","B","D","B","-","-","-","-"
"S5","D","-","-","A","D","A","D","A","D","A","D","B","D","B","D","B","D","E","D","B","D","A","D","B","D","B","D","B","D","B","E","D","E","D","B","D","-","-","-","-","-","-","B","D","B","D","B","D","B","D","K","D","E","D","-","-","-","-","-","-","-","-","-","-","-","-","K","D","E","-","-","-","-","-","-","-","-","-","-"
"S6","D","D","-","A","D","A","D","A","D","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","D","B","D","B","D","B","D","B","D","B","D","B","D","K","D","E","D","K","D","E","D","B","D","B","D","B","D","B","D","B","D","B","D","K","D","E","-","-","-","-","-","-","-","-","-","-"
"S7","D","-","-","A","D","A","D","A","D","A","D","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","D","-","-","-","-","-","-","-","-","B","D","B","D","A","D","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","E","D","E","D","B","D","B","D","B","D","B","D","B"
"S8","D","-","-","A","D","A","D","A","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","D","B","D","B","D","-","-","-","-","B","D","B","D","B","D","B","D","K","D","E","D","-","-","-","-","-","-","-","-","-","-","-","-","K","D","E","-","-","-","-","-","-","-","-","-","-"
"S9","D","-","-","A","D","A","D","A","D","A","D","A","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","E","D","E","D","B","D","B","D","B","D","-","-","B","D","B","D","K","D","E","D","K","D","E","D","B","D","B","D","B","D","B","D","B","D","-","-","K","D","E","-","-","-","-","-","-","-","-","-","-"
"S10","D","D","D","A","D","A","D","A","D","A","D","A","D","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","-","-","E","D","E","D","B","D","B","D","-","-","-","-","B","D","B","D","B","D","B","D","K","D","E","D","-","-","-","-","-","-","-","-","-","-","-","-","K","D","E","-","-","-","-","-","-","-","-","-","-"
