"","I","I","1","I","2","I","3","5","I","6","I","7","I","8","I","9","I","I","I","10","11","12","13","14","15","16","17","18","19","20","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","21","22","23","24","I","25","I","26","I","27"
"D1","D","-","A","D","B","D","B","E","D","E","D","B","D","B","-","-","-","-","-","D","B","D","B","D","B","D","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","B","-","-","-","-","-","-"
"D2","D","-","A","D","B","D","B","E","D","E","D","B","D","B","-","-","-","-","-","D","B","D","B","D","B","D","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","K","D","E","D","K","D","E","D","B"
"D3","D","-","B","D","B","D","B","E","D","E","D","B","D","B","-","-","-","-","-","D","B","D","B","D","B","D","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","K","D","E","-","-","-","-","-","-"
"S1","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","A","A","D","A","A","D","A","D","A","A","A","D","A","A","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-"
"S2","A","-","A","A","A","A","A","A","A","A","A","A","A","A","-","A","A","A","-","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","A","A","A","A","D","A","D","A","D","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-"
"S3","A","-","A","A","A","A","A","A","A","A","A","A","A","A","D","A","A","-","-","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","A","D","A","A","A","D","A","A","D","A","D","A","D","A","D","A","D","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-"
"S4","A","-","A","A","A","A","A","A","A","A","A","A","A","A","-","A","D","A","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","A","D","A","D","A","A","D","A","D","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-"
"S5","A","-","A","-","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","A","A","A","A","D","A","D","A","D","A","A","D","A","A","A","D","A","D","A","A","D","A","A","A","D","A","D","A","A","-","-","-","-","-","-","-","-","-"
"S6","A","A","A","A","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","A","D","A","A","D","A","D","A","A","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-"
"S7","A","-","A","A","A","A","A","A","A","A","A","A","D","A","D","A","A","-","-","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","A","A","D","A","A","A","D","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-"
"S8","A","-","A","A","A","A","A","A","A","A","A","A","A","A","-","A","A","A","-","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","A","A","A","A","D","A","A","A","A","A","A","A","D","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-"
"S9","A","-","A","-","A","A","A","A","D","A","D","A","D","A","-","-","-","-","-","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","A","D","A","A","A","D","A","D","A","A","D","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-"
"S10","A","-","A","-","A","A","A","A","A","A","A","A","A","A","-","-","-","-","-","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","D","A","A","D","A","D","A","D","A","D","A","A","A","D","A","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-"
