"","1","2","I","I","I","3","I","4","5","6","I","I","I","I","I","I","I","I","I","7","8","I","9","10","11","I","I","I","I","I","I","I","I","I","I","12","13","14","15","16","17","18","19","I","I","I","I","I","I","I","I","20","21","22","23","I","I","I","I","I","I","I","I","I","I","24","25","26","27","I","I","I","I","I","I","I","I"
"D1","D","-","-","-","-","-","-","A","D","B","D","-","-","-","-","-","-","-","-","B","E","D","E","D","B","-","-","-","-","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","D","B","D","B","-","-","-","-","-","-","-","-","-","-","D","B","D","B","-","-","-","-","-","-","-","-"
"D2","D","-","-","-","-","-","-","A","D","B","D","-","-","-","-","-","-","-","-","B","E","D","E","D","B","-","-","-","-","-","-","-","-","-","-","D","B","D","B","D","B","D","B","D","B","D","B","-","-","-","-","D","K","D","E","-","-","-","-","-","-","-","-","-","-","D","K","D","E","D","B","-","-","-","-","-","-"
"D3","D","-","-","-","-","-","-","B","D","B","D","-","-","-","-","-","-","-","-","B","E","D","E","D","B","-","-","-","-","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","D","B","D","B","-","-","-","-","-","-","-","-","-","-","D","K","D","E","-","-","-","-","-","-","-","-"
"S1","D","A","D","-","-","A","D","B","D","B","D","B","D","B","D","-","-","-","-","B","E","D","E","D","B","-","-","-","-","-","-","-","-","-","-","D","B","D","B","D","K","D","E","D","B","D","B","D","B","D","B","D","K","D","E","-","-","-","-","-","-","-","-","-","-","D","K","-","-","-","-","-","-","-","-","-","-"
"S2","D","A","D","-","-","A","D","A","D","B","D","B","D","B","D","B","D","B","D","B","E","D","E","D","B","-","-","-","-","-","-","-","-","-","-","D","B","D","B","D","B","D","B","-","-","-","-","-","-","-","-","D","K","D","E","-","-","-","-","-","-","-","-","-","-","D","K","D","E","D","B","D","B","-","-","-","-"
"S3","D","A","D","-","-","A","D","A","D","B","D","B","D","-","-","-","-","-","-","B","E","D","E","D","B","-","-","-","-","-","-","-","-","-","-","D","B","D","B","D","B","D","-","-","-","-","-","-","-","-","-","-","K","D","E","-","-","-","-","-","-","-","-","-","-","D","K","D","E","D","B","D","B","D","B","D","B"
"S4","D","A","D","-","-","A","D","A","D","B","D","B","D","B","D","-","-","-","-","B","E","D","E","D","B","D","B","D","B","D","B","D","B","D","B","D","K","D","E","D","K","D","E","D","B","D","B","D","B","D","B","D","K","D","E","-","-","-","-","-","-","-","-","-","-","D","K","D","E","-","-","-","-","-","-","-","-"
"S5","D","A","D","-","-","A","D","A","D","A","D","B","D","B","D","-","-","-","-","B","E","D","E","D","B","D","B","D","B","D","B","-","-","-","-","D","B","D","B","D","K","D","E","D","B","D","B","D","B","D","B","D","K","D","E","-","-","-","-","-","-","-","-","-","-","D","K","D","E","D","B","D","B","D","B","-","-"
"S6","D","A","D","D","D","A","D","A","D","B","D","B","D","-","-","-","-","-","-","B","E","D","E","D","B","-","-","-","-","-","-","-","-","-","-","D","B","D","B","D","B","D","B","D","B","D","B","-","-","-","-","D","K","D","E","-","-","-","-","-","-","-","-","-","-","D","K","D","E","D","B","D","B","D","B","D","B"
"S7","D","A","D","-","-","A","D","A","D","B","D","B","D","B","D","-","-","-","-","B","E","D","E","D","B","D","B","D","B","-","-","-","-","-","-","D","B","D","B","D","K","D","E","-","-","-","-","-","-","-","-","D","K","D","E","D","B","D","B","D","B","-","-","-","-","D","K","D","E","-","-","-","-","-","-","-","-"
"S8","D","A","D","-","-","A","D","A","D","B","D","B","D","-","-","-","-","-","-","B","E","D","E","D","B","D","B","D","B","-","-","-","-","-","-","D","B","D","B","D","K","D","E","-","-","-","-","-","-","-","-","D","K","D","E","D","B","D","B","D","B","D","B","-","-","D","K","D","E","D","B","-","-","-","-","-","-"
"S9","D","A","D","-","-","A","D","A","D","B","D","B","D","-","-","-","-","-","-","B","E","D","E","D","B","D","B","D","B","D","B","D","B","D","B","D","K","D","E","D","K","D","E","D","B","D","B","D","B","-","-","D","K","D","E","-","-","-","-","-","-","-","-","-","-","D","K","D","E","-","-","-","-","-","-","-","-"
"S10","D","A","D","-","-","A","D","A","D","B","D","B","D","-","-","-","-","-","-","B","E","D","E","D","B","D","B","D","B","D","B","-","-","-","-","D","B","D","B","D","K","D","E","-","-","-","-","-","-","-","-","D","K","D","E","D","B","D","B","D","B","D","B","D","B","D","K","D","E","D","B","-","-","-","-","-","-"
