"","1","2","3","4","5","6","7","8","9","10","11","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","12","I","13","I","I","I","I","I","I","I","I","I","I","14","25","26","27","28","29","30","31","32","33","34","I","I","I","I","I","I","I","I","I","35","36","37","38","39","40","41","47","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","48","49","50","51","52","53","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","54","55","I","56","I","I","I","I","I","I","I","I","I"
"D1","A","A","A","A","-","A","A","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","C","B","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"D2","A","A","A","-","-","A","A","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","C","B","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","A","A","A","A","A","A","A","-","-","-","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","C","B","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","B","A","C","C","C","C","C","C","C","C"
"D4","A","A","A","A","-","A","A","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","C","B","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","E","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D5","A","A","A","A","-","A","A","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","C","B","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","E","E","C","B","H","A","B","A","B","A","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","-","-","-","-","-","-","-","-","-"
"D6","A","A","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","C","B","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","E","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","B","A","-","-","-","-","-","-","-","-"
"D7","A","A","A","A","-","A","A","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","C","B","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","E","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"D8","A","A","A","A","-","A","A","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","C","B","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","B","-","-","-","-","-","-","-","-","-"
"D9","A","A","A","A","A","A","A","-","-","-","A","A","C","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","C","B","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-"
"D10","A","A","A","A","A","A","A","-","-","-","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","C","B","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","C","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","C","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S1","A","A","A","A","-","A","A","-","-","-","A","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","-","-","-","O","H","A","B","A","B","A","C","C","C","C","C","C","C","C","C","E","E","I","A","A","A","A","A","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","E","E","I","A","A","A","A","A","C","C","C","C","C","C","C","C","C","-","-","-","-","E","E","-","O","-","-","-","-","-","-","-","-","-"
"S2","A","A","A","-","-","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","E","E","-","O","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","E","E","I","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","-","I","-","-","-","-","-","-","-","-","-"
"S3","A","A","A","A","A","A","A","-","-","-","A","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","-","O","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","E","E","I","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","-","I","-","-","-","-","-","-","-","-","-"
"S4","A","A","A","-","-","A","A","-","-","-","A","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","-","O","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","E","E","I","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","-","-","E","E","-","I","A","-","-","-","-","-","-","-","-"
"S5","A","A","A","A","-","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","-","-","C","E","E","-","O","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","E","E","I","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","-","I","-","-","-","-","-","-","-","-","-"
"S6","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","E","E","-","O","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","E","E","I","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","-","-","-","E","E","-","I","-","-","-","-","-","-","-","-","-"
"S7","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","C","E","E","-","O","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","-","E","E","I","A","A","A","A","A","C","C","C","C","C","C","C","C","C","-","-","-","-","E","E","-","I","-","-","-","-","-","-","-","-","-"
"S8","A","A","A","-","-","A","A","-","-","-","A","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","C","C","C","C","-","-","-","-","-","-","-","-","-","C","E","E","-","O","H","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","C","C","C","C","C","C","-","-","-","-","-","E","E","I","A","A","A","A","A","C","C","C","C","C","C","C","C","C","-","-","-","-","E","E","-","I","-","-","-","-","-","-","-","-","-"
