"","I","1","2","3","4","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","5","6","7","I","I","I","I","I","I","8","9","I","I","I","I"
"D1","A","B","G","M","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","G","M","M","-","-","-","-","-","-","B","B","-","-","-","-"
"D2","-","B","G","M","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","A","A","A","A","B","B","B","-","-","-","-"
"D3","-","B","G","M","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","A","A","A","-","-","-","B","-","-","-","-","-"
"D4","-","M","G","M","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","-","-","-","-","-","-","B","B","A","-","-","-"
"D5","-","D","G","M","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","M","B","-","-","-","-","-","-","B","B","A","-","-","-"
"D6","-","-","D","M","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","G","M","B","-","-","-","-","-","-","B","B","A","A","-","-"
"D7","-","B","G","M","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","A","A","A","A","-","-","B","-","-","-","-","-"
"D8","A","B","G","M","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","B","B","A","A","A","-"
"D9","-","M","G","M","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","A","A","A","A","B","B","B","B","-","-","-","-"
"S1","-","-","-","-","A","A","A","A","A","A","A","A","A","A","B","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","-","-","-","-","-","-","B","B","A","A","A","A"
"S2","-","-","-","-","A","A","A","A","A","A","A","A","B","B","B","B","B","A","A","A","A","A","B","B","A","-","-","B","B","B","-","-","-","-","-","-","M","B","-","-","-","-"
"S3","-","-","-","-","A","A","A","A","A","A","A","A","A","B","B","B","B","A","A","A","A","A","B","B","A","B","-","B","B","M","-","-","-","-","-","-","B","B","-","-","-","-"
"S4","-","-","-","-","A","A","A","A","A","A","A","A","A","B","B","B","B","A","A","A","A","A","A","B","B","A","B","B","B","D","-","-","-","-","-","-","M","D","-","-","-","-"
"S5","-","-","-","-","A","A","A","A","A","A","A","A","A","B","B","B","B","B","B","A","A","A","A","A","B","B","A","B","M","B","-","-","-","-","-","-","B","B","-","-","-","-"
"S6","-","-","-","-","A","A","A","A","A","A","A","A","A","A","B","B","B","B","B","B","A","A","A","A","B","B","A","B","B","B","-","-","-","-","-","-","M","B","-","-","-","-"
"S7","-","-","-","-","A","A","A","A","A","A","A","A","A","A","B","B","B","B","B","A","A","A","A","-","-","-","-","B","M","B","-","-","-","-","-","-","B","B","B","-","-","-"
"S8","-","-","-","-","A","A","A","A","A","A","A","A","B","B","B","B","B","B","A","A","E","B","B","A","B","-","-","B","M","B","-","-","-","-","-","-","B","B","-","-","-","-"
"S9","-","-","-","-","A","A","A","A","A","A","A","A","A","A","B","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","A","B","A","-","-","-","B","B","-","-","-","-"
"S10","-","-","-","-","A","A","A","A","A","A","A","A","A","B","B","A","A","A","A","-","-","-","-","-","-","-","-","B","B","M","-","-","-","-","-","-","B","B","-","-","-","-"
