"","1","I","I","I","2","3","4","5","6","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","7","8","9","I","10","I","I","I","I","I","11","12","13","14","15","I","I","16","17","18","19","20","21"
"D1","A","-","-","-","B","B","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","-","A","-","-","-","-","-","B","A","B","A","B","-","-","A","B","A","B","A","B"
"D2","A","A","-","-","B","B","B","B","B","A","A","B","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","-","A","-","-","-","-","-","E","A","B","A","B","-","-","A","B","A","B","A","B"
"D3","A","A","-","-","B","B","B","B","B","B","A","A","B","A","B","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","B","A","B","-","A","-","-","-","-","-","E","A","B","A","B","-","-","A","B","A","B","A","B"
"D4","A","-","-","-","A","B","B","B","B","A","A","B","A","B","A","B","A","B","A","B","A","B","A","-","-","-","-","-","-","-","-","B","A","B","-","A","-","-","-","-","-","E","A","B","A","B","-","-","A","B","A","B","A","B"
"D5","A","-","-","-","B","B","B","B","B","B","A","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","-","A","-","-","-","-","-","B","A","B","A","B","-","-","A","E","A","B","A","B"
"D6","A","-","-","-","A","B","B","B","B","A","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","-","A","-","-","-","-","-","B","A","B","A","B","-","-","A","B","A","E","A","B"
"D7","A","A","-","-","B","B","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","-","A","-","-","-","-","-","B","A","B","A","B","-","-","A","B","A","B","A","B"
"D8","A","-","-","-","A","B","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","-","-","A","-","-","-","-","-","B","A","B","A","B","-","-","A","B","A","B","A","B"
"D9","A","A","-","-","B","B","B","B","B","A","A","B","A","B","A","B","A","B","A","B","A","A","B","A","-","-","-","-","-","-","-","B","A","E","-","A","-","-","-","-","-","B","A","B","A","B","-","-","A","B","A","E","A","B"
"D10","A","-","-","-","B","B","B","B","B","A","A","B","A","B","A","B","A","B","A","B","A","B","A","E","A","B","A","B","A","B","A","B","A","E","-","A","-","-","-","-","-","B","A","B","A","B","-","-","A","E","A","B","A","B"
"S1","A","A","A","A","B","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","A","-","A","-","-","-","-","-","B","A","B","A","B","A","-","D","B","A","B","A","-"
"S2","A","-","-","-","B","B","D","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","A","-","D","-","-","-","-","-","B","A","B","A","B","-","-","A","B","A","-","-","-"
"S3","A","B","-","-","D","B","D","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","B","A","A","-","-","-","-","-","B","A","B","A","B","-","-","A","D","-","B","A","B"
"S4","A","-","-","-","D","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","B","-","D","-","-","-","-","-","B","A","-","A","B","-","-","A","B","A","B","A","B"
"S5","A","-","-","-","D","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","B","-","A","A","B","A","-","-","B","A","B","A","D","B","-","A","B","A","B","A","B"
"S6","A","B","-","-","D","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","B","-","A","A","B","A","B","A","B","A","B","A","D","B","A","D","B","A","B","A","B"
"S7","A","-","-","-","D","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","B","-","D","-","-","-","-","-","B","A","-","A","B","-","-","A","B","A","B","A","-"
"S8","A","-","-","-","B","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-","B","A","-","-","-","-","-","A","B","A","B","A","B"
"S9","A","B","-","-","D","B","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","-","A","-","-","-","-","-","B","A","B","A","D","-","-","-","-","-","-","-","B"
"S10","A","-","-","-","D","B","D","B","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","D","B","-","D","B","A","A","B","A","B","A","B","A","D","B","-","A","B","A","B","A","B"
