"","I","I","1","I","I","I","2","I","I","I","I","I","I","I","I","3","I","I","I","I","4","5","I","I","I","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","I","I","I","22","23","I","I","I","I","I","24","I","I","I","I","25","26","27","28","I","I","I","I","I","I","I","29","30","31","I","32","I","I","I","I","I"
"D1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","J","J","F","G","B","A","B","F","B","A","B","F","-","-","-","-","-","-","-","F","F","-","-","-","-","-","B","-","-","-","-","A","B","F","F","-","-","-","-","-","-","-","F","B","A","-","B","-","-","-","-","-"
"D2","B","-","A","-","-","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","J","J","F","A","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","-","-","-","-","-","-","-","-","-","-","-","-","-","F","-","-","-","-","-","-","-","F","B","-","-","-","-","-","-","-","-"
"D3","B","-","A","-","-","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","-","-","-","-","-","B","-","-","-","-","A","B","F","F","-","-","-","-","-","-","-","-","B","A","B","F","F","-","-","-","-"
"D4","B","B","A","-","-","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","J","J","F","A","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","F","-","-","-","-","B","-","-","-","-","A","B","F","F","-","-","-","-","-","-","-","F","B","-","-","-","-","-","-","-","-"
"D5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-","-","-","J","-","-","-","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","-","-","-","-","-","B","-","-","-","-","A","B","F","F","-","-","-","-","-","-","-","F","B","-","-","-","-","-","-","-","-"
"D6","B","-","A","A","-","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","J","J","F","A","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","-","-","-","-","-","B","-","-","-","-","A","B","F","F","-","-","-","-","-","-","-","F","B","A","-","B","-","-","-","-","-"
"D7","-","-","D","B","-","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","-","-","-","-","-","B","-","-","-","-","A","B","F","F","-","-","-","-","-","-","-","F","B","A","B","F","F","-","-","-","-"
"D8","B","-","A","-","-","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","A","-","-","-","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","-","-","-","-","-","B","-","-","-","-","A","B","F","F","-","-","-","-","-","-","-","F","B","A","B","F","F","F","B","A","B"
"D9","B","-","A","-","-","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","A","-","-","-","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","-","-","-","-","-","B","-","-","-","-","A","B","F","F","-","-","-","-","-","-","-","F","B","A","-","B","-","-","-","-","-"
"D10","B","-","A","-","-","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","-","-","-","-","-","B","-","-","-","-","A","B","F","F","-","-","-","-","-","-","-","F","B","A","B","F","F","-","-","-","-"
"S1","A","-","A","A","-","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","A","J","F","-","-","A","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","F","F","F","B","A","B","-","B","-","-","-","-","A","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","B","A","-","-","-"
"S2","A","-","A","-","-","-","A","A","A","A","B","B","B","A","A","A","-","-","-","-","A","-","-","-","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","A","B","F","F","-","-","-","-","-","-","-","F","B","A","B","B","B","-","-","-","-"
"S3","A","-","A","-","-","-","A","B","B","-","-","-","-","-","-","A","-","-","-","-","A","-","-","-","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","A","B","F","F","F","-","-","-","-","-","-","F","B","A","B","B","-","-","-","-","-"
"S4","A","-","A","-","-","-","A","-","-","-","-","-","-","-","-","A","A","B","B","B","A","-","-","-","-","A","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","B","A","B","B","-","B","-","-","-","-","A","J","F","G","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-"
"S5","A","-","A","A","-","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","A","-","-","-","-","J","J","F","G","B","A","B","F","B","A","B","F","-","-","-","-","-","-","-","F","F","B","A","B","B","B","B","-","-","-","-","A","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","F","F","B","-","-"
"S6","A","-","A","A","-","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","J","J","F","-","-","A","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","B","A","B","B","-","B","-","-","-","-","A","J","F","G","B","A","B","-","-","-","-","F","B","A","B","F","B","A","B","-","-"
"S7","A","-","A","B","B","B","A","-","-","-","-","-","-","-","-","A","-","-","-","-","A","-","-","-","-","J","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","B","A","B","B","-","B","-","-","-","-","A","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","F","F","B","-","-"
"S8","A","-","A","A","A","-","A","-","-","-","-","-","-","-","-","A","-","-","-","-","J","J","F","-","-","A","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","-","-","-","F","F","-","-","-","-","-","B","A","B","B","A","A","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","F","F","-","-","-"
