"","I","I","1","2","3","4","5","6","7","8","9","10","11","12","I","I","13","14","15","16","17","18","19","20","21","22","23","24","I","I","I","I","I","25","26","I","I","I","I","I","I","I","I","I","I","27","28","29","30","I","I"
"D1","-","-","A","A","A","A","A","A","A","A","E","B","-","-","-","-","-","-","-","E","B","E","A","B","B","E","A","B","-","-","-","-","-","A","A","A","A","A","E","B","E","A","B","B","E","A","B","B","E","-","-"
"D2","-","-","-","A","A","A","A","A","A","A","E","B","-","-","-","-","-","-","-","E","B","E","A","B","B","E","A","B","B","E","A","B","-","A","A","A","A","A","E","B","E","-","-","-","-","A","B","B","E","-","-"
"D3","-","-","A","A","A","A","A","A","A","A","E","B","-","-","-","-","-","-","-","E","B","E","A","B","B","E","A","B","-","-","-","-","-","A","A","-","-","-","-","-","-","-","-","-","-","A","A","A","E","-","-"
"D4","-","-","A","A","A","A","A","A","A","A","E","B","-","-","-","-","-","-","-","E","B","E","A","B","B","E","A","B","-","-","-","-","-","A","A","A","A","A","E","B","E","-","-","-","-","A","B","B","E","-","-"
"D5","-","-","-","A","A","A","A","A","A","A","E","B","-","-","-","-","-","-","-","E","B","E","A","B","B","E","A","B","-","-","-","-","-","A","A","A","A","A","E","B","E","-","-","-","-","A","B","B","E","A","B"
"D4","-","-","A","A","A","A","A","A","A","A","E","B","-","-","-","-","-","-","-","E","B","E","A","B","B","E","A","B","-","-","-","-","-","A","A","A","A","A","E","B","E","-","-","-","-","A","B","B","E","-","-"
"D7","-","-","A","A","A","A","A","A","A","A","E","B","-","-","-","-","-","-","-","E","B","E","A","B","B","E","A","B","B","E","A","B","-","A","A","A","A","A","E","B","E","-","-","-","-","A","B","B","E","-","-"
"D8","-","-","A","A","A","A","A","A","A","A","E","B","-","-","-","-","-","-","-","E","B","E","A","B","B","E","A","B","-","-","-","-","-","A","A","A","A","A","E","B","E","B","E","-","-","A","B","B","E","-","-"
"D9","-","-","A","A","A","A","A","A","A","A","E","B","-","-","-","-","-","-","-","E","B","E","A","B","B","E","A","B","B","E","A","B","A","A","A","-","-","-","-","-","-","-","-","-","-","A","A","A","E","-","-"
"D10","-","-","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","E","B","E","A","B","B","E","A","B","-","-","-","-","-","A","A","A","A","A","E","B","E","-","-","-","-","A","B","B","E","-","-"
"S1","-","-","G","B","B","E","I","I","A","A","L","L","L","L","L","L","L","L","L","L","L","N","G","B","B","E","I","I","-","-","-","-","-","A","A","-","-","-","-","-","-","-","-","-","-","G","B","B","E","-","-"
"S2","A","A","G","B","B","E","I","I","A","A","L","L","L","L","-","-","L","L","L","L","L","N","G","B","B","E","I","I","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S3","-","-","G","B","B","E","I","I","A","A","L","L","L","L","-","-","L","L","L","L","L","N","G","B","B","E","I","I","-","-","-","-","-","A","A","-","-","-","-","-","-","-","-","-","-","G","B","B","E","-","-"
"S3","-","-","G","B","B","E","I","I","A","A","L","L","L","L","-","-","L","L","L","L","L","N","G","B","B","E","I","I","-","-","-","-","-","A","A","-","-","-","-","-","-","-","-","-","-","G","B","B","E","-","-"
"S5","A","A","G","B","B","E","I","I","A","A","L","L","L","L","-","-","L","L","L","L","L","N","G","B","B","E","I","I","-","-","-","-","-","A","A","-","-","-","-","-","-","-","-","-","-","G","B","B","E","-","-"
"S6","-","-","G","B","B","E","I","I","A","A","L","L","L","L","L","-","L","L","L","L","L","N","G","B","B","E","I","I","-","-","-","-","-","A","A","-","-","-","-","-","-","-","-","-","-","G","B","-","-","-","-"
"S3","-","-","G","B","B","E","I","I","A","A","L","L","L","L","-","-","L","L","L","L","L","N","G","B","B","E","I","I","-","-","-","-","-","A","A","-","-","-","-","-","-","-","-","-","-","G","B","B","E","-","-"
"S1","-","-","G","B","B","E","I","I","A","A","L","L","L","L","L","L","L","L","L","L","L","N","G","B","B","E","I","I","-","-","-","-","-","A","A","-","-","-","-","-","-","-","-","-","-","G","B","B","E","-","-"
"S9","-","-","G","B","B","E","I","I","A","A","L","L","L","L","L","-","L","L","L","L","L","N","G","B","B","E","I","I","-","-","-","-","-","A","A","-","-","-","-","-","-","-","-","-","-","G","B","B","E","-","-"
"S10","A","A","G","B","B","E","I","I","A","A","L","L","L","L","L","-","L","L","L","L","L","N","G","B","B","E","I","I","-","-","-","-","-","A","A","-","-","-","-","-","-","-","-","-","-","G","B","B","E","-","-"
