"","1","I","I","I","I","I","I","I","I","I","I","I","I","I","2","3","4","5","I","6","7","8","9","I","I","10","I","I","I","I","11","I","I","I","12","13","14","15","16","17","18","I","I","I","19","20","I","I","21","22","I","23","24","25"
"D1","A","B","B","B","B","A","A","A","A","-","-","-","-","-","B","B","B","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-","-","-","B","A","B","G","A","B","A","-","-","-","B","-","-","-","-","A","-","B","A","B"
"D2","A","B","B","B","B","A","A","A","A","-","-","-","-","-","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","G","A","B","A","-","-","-","B","-","-","-","-","-","-","-","A","B"
"D3","A","B","B","B","A","A","A","A","-","-","-","-","-","-","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","G","A","B","A","B","A","-","B","-","-","-","-","A","-","B","A","B"
"D4","A","B","B","B","A","A","A","A","-","-","-","-","-","-","B","B","B","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-","-","-","B","A","B","G","A","B","A","B","A","-","B","-","-","-","-","A","-","B","A","B"
"D5","A","B","B","B","A","A","A","A","A","-","-","-","-","-","B","B","B","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-","-","-","B","A","B","G","A","B","A","-","-","-","B","-","-","-","-","A","-","B","A","B"
"S1","A","A","A","A","B","B","B","A","A","A","-","-","-","-","B","B","B","D","A","B","G","A","B","A","-","B","A","B","A","-","B","A","-","-","B","A","B","G","A","B","D","A","-","-","B","-","-","-","D","-","-","-","A","B"
"S2","A","A","A","B","B","B","A","A","-","-","-","-","-","-","B","B","B","D","A","B","G","A","B","A","B","D","A","B","A","B","D","A","-","-","B","A","B","D","A","B","D","A","-","-","G","-","-","-","G","G","-","G","A","B"
"S3","A","A","A","A","B","B","A","B","B","B","A","A","A","-","B","B","B","D","A","B","G","A","B","-","-","-","-","-","-","-","-","-","-","-","D","A","B","D","A","B","D","A","-","-","B","G","-","-","G","A","-","B","A","B"
"S4","A","A","A","A","B","B","B","A","A","A","-","-","-","-","B","B","B","D","A","B","G","A","B","A","-","B","-","-","-","-","D","A","-","-","B","A","B","D","A","B","A","B","A","-","B","G","A","B","D","A","-","B","A","B"
"S5","A","A","A","A","A","B","B","B","A","B","B","A","A","A","B","B","B","D","A","B","G","A","B","-","-","-","-","-","-","-","-","-","-","-","D","A","B","D","A","B","D","A","-","-","B","-","-","-","D","A","B","D","A","B"
"S6","A","A","A","B","B","B","A","A","A","-","-","-","-","-","B","B","B","D","A","B","G","A","B","A","-","B","A","B","-","-","D","A","B","A","B","A","B","D","A","B","A","-","-","-","B","-","-","-","G","-","-","-","-","-"
"S7","A","A","A","A","A","B","B","B","A","A","A","-","-","-","B","B","B","D","A","B","G","A","B","-","-","-","-","-","-","-","-","-","-","-","D","A","B","D","A","B","D","A","B","A","B","-","-","-","D","A","B","D","A","B"
"S8","A","A","A","A","B","B","B","A","A","A","-","-","-","-","B","B","B","D","A","B","G","A","B","-","-","-","-","-","-","-","-","-","-","-","-","A","B","D","A","B","A","-","-","-","B","-","-","-","-","A","B","D","A","B"
"S9","A","A","A","A","B","B","B","A","A","A","-","-","-","-","B","B","B","D","A","B","G","A","B","A","-","B","A","-","-","-","B","A","-","-","B","A","B","D","A","B","D","A","-","-","B","G","-","-","G","A","-","B","A","B"
"S10","A","A","A","B","B","B","A","A","A","-","-","-","-","-","B","B","B","D","A","B","G","A","B","A","-","B","A","B","A","B","D","A","-","-","B","A","B","D","A","B","G","A","-","-","B","-","-","-","D","A","-","B","A","B"
