"","I","I","I","I","I","I","1","I","I","I","2","I","3","I","4","6","8","I","I","9","10","I","11","13","I","14","I","15","17","I","18","19","I","I","I","20","I","I","21","I","I","I","I","I","I","22","I","I","23","I","I","24","I","25","30","I","I","31","I","I","32","I","I","33","I","I","34","I","I","35","I","I","36","I","I","37","I","I","38","I","I","I","I","I","I","I","I","I","I","I","I","I","I","39","I","I","I","40","I","I","41","I","I","42","I","I","43","44","I","I","I","I","I","I","I","I","45","I","I","I","I","I","I","I","46","I","I","I","I","I","I","I","I","I","I","47","I","I","48","I","I","49","52","53","54","I","I"
"D1","-","-","-","-","-","-","A","A","-","-","A","-","-","-","A","-","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","-","B","A","A","B","A","A","-","-","-","-","B","A","A","B","A","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","-","-"
"D2","A","A","A","-","-","-","A","A","-","-","A","A","A","A","A","-","-","-","-","B","A","A","B","A","A","B","A","A","B","-","-","B","A","A","-","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","A","A","A","A","A","A","A","A","A","A","A","A","B","-","-","-","-","-","-","-","-","-","B","-","-","B","B","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D3","A","A","-","-","-","-","A","A","-","-","A","A","A","A","A","-","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","A","A","A","A","A","A","A","-","-","-","-","-","-","B","A","A","-","B","A","A","B","A","A","B","-","-","B","B","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","B","A","A","A","A","A","A","A","A","A","A","B","A","A","B","-","-","-","-","-","A","A","-"
"D4","A","A","A","A","A","A","A","A","-","-","A","A","A","A","A","-","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","-","B","-","-","B","A","A","-","-","-","-","B","A","A","B","A","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","A","B","A","A","A","A","A","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-","-","-","-","B","B","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","B","A","A","A","A","A","-","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-"
"D5","-","-","-","-","-","-","A","A","-","-","A","-","-","-","A","-","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","-","B","A","A","B","A","A","-","-","-","-","B","A","A","B","A","A","B","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-"
"D6","A","A","A","A","A","-","A","A","-","-","A","A","A","A","A","-","-","-","-","B","A","A","B","A","A","B","A","A","B","A","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","A","A","A","A","A","A","A","-","-","-","-","-","-","B","A","A","A","B","A","A","B","-","-","B","-","-","B","B","-","-","-","-","-","-","-","-","B","A","A","A","A","A","A","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D7","A","A","A","-","-","-","A","A","-","-","A","A","A","A","A","-","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","-","B","A","A","B","-","-","-","-","-","-","B","A","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","B","-","-","B","-","-","B","A","A","A","A","A","A","A","A","-","-","-","-","-","-","B","A","A","-","B","-","-","B","-","-","B","-","-","B","B","A","A","-","-","-","-","-","-","B","A","A","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-"
"D8","-","-","-","-","-","-","A","A","-","-","A","A","B","A","A","-","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","-","B","-","-","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","B","A","A","A","A","A","A","A","A","A","A","A","A","A","-","B","A","A","-","B","A","A","B","A","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","-"
"D9","A","A","-","-","-","-","A","A","-","-","A","A","A","A","A","-","-","-","-","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","-","B","A","A","B","A","A","-","-","-","-","B","A","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","B","-","-","B","A","A","A","A","A","A","A","A","A","A","A","A","A","A","B","-","-","-","-","-","-","-","-","-","B","-","-","B","B","-","-","-","-","-","-","-","-","B","A","A","-","-","-","-","-","B","A","A","-","-","-","-","-","-","-","-","B","A","A","B","A","A","B","-","-","-","-","-"
"D10","A","A","A","-","-","-","A","A","-","-","A","A","A","A","A","-","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","B","A","A","-","B","A","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","A","A","A","A","-","-","-","-","D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","D","D","-","-","-"
