"","I","I","I","I","I","I","I","I","I","1","2","3","4","5","6","7","8","9","I","10","11","12","13","14","I","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"D1","-","-","-","-","-","-","-","-","-","G","B","B","E","I","I","A","A","L","L","L","L","L","L","L","L","L","L","L","N","G","B","B","E","I","I","A","A","G","B","B","E"
"D2","A","A","-","-","-","-","-","-","-","G","B","B","E","I","I","A","A","L","-","L","L","L","L","L","-","L","L","L","N","G","B","B","E","I","I","A","-","-","-","-","-"
"D3","-","-","-","-","-","-","-","-","-","G","B","B","E","I","I","A","A","L","-","L","L","L","L","L","-","L","L","L","N","G","B","B","E","I","I","A","A","G","B","B","E"
"D3","-","-","-","-","-","-","-","-","-","G","B","B","E","I","I","A","A","L","-","L","L","L","L","L","-","L","L","L","N","G","B","B","E","I","I","A","A","G","B","B","E"
"D5","A","A","-","-","-","-","-","-","-","G","B","B","E","I","I","A","A","L","-","L","L","L","L","L","-","L","L","L","N","G","B","B","E","I","I","A","A","G","B","B","E"
"D6","-","-","-","-","-","-","-","-","-","G","B","B","E","I","I","A","A","L","L","L","L","L","L","L","-","L","L","L","N","G","B","B","E","I","I","A","A","G","B","-","-"
"D3","-","-","-","-","-","-","-","-","-","G","B","B","E","I","I","A","A","L","-","L","L","L","L","L","-","L","L","L","N","G","B","B","E","I","I","A","A","G","B","B","E"
"D1","-","-","-","-","-","-","-","-","-","G","B","B","E","I","I","A","A","L","L","L","L","L","L","L","L","L","L","L","N","G","B","B","E","I","I","A","A","G","B","B","E"
"D9","-","-","-","-","-","-","-","-","-","G","B","B","E","I","I","A","A","L","L","L","L","L","L","L","-","L","L","L","N","G","B","B","E","I","I","A","A","G","B","B","E"
"D10","A","A","-","-","-","-","-","-","-","G","B","B","E","I","I","A","A","L","L","L","L","L","L","L","-","L","L","L","N","G","B","B","E","I","I","A","A","G","B","B","E"
"S1","A","A","A","A","A","A","A","A","-","G","B","B","E","I","I","A","A","E","A","G","B","B","E","-","-","I","I","A","A","G","B","B","E","I","-","-","-","-","-","-","-"
"S2","A","A","A","A","A","A","-","-","-","G","B","B","E","I","I","A","A","G","-","-","B","B","E","-","-","I","I","A","A","G","B","B","E","I","I","A","-","-","-","-","-"
"S3","A","A","A","A","A","A","-","-","-","G","B","B","E","I","I","A","A","G","-","-","B","B","E","-","-","I","I","A","A","G","B","B","E","I","I","A","A","G","B","B","E"
"S4","A","A","A","A","A","A","A","A","-","G","B","B","E","I","I","A","A","G","-","-","B","B","E","-","-","I","I","A","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S5","A","A","A","A","A","A","A","A","A","G","B","B","E","I","I","A","A","G","-","-","B","B","E","-","-","I","I","A","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S6","A","A","A","A","A","A","A","-","-","G","B","B","E","I","I","A","A","G","-","-","B","B","E","-","-","I","I","A","A","G","B","B","E","I","I","A","-","-","-","-","-"
"S7","A","A","A","A","A","A","-","-","-","G","B","B","E","I","I","A","A","G","-","-","B","B","E","-","-","I","I","A","A","G","B","B","E","-","-","-","-","-","-","-","-"
"S8","A","A","A","A","A","A","A","-","-","G","B","B","E","I","I","A","A","G","-","-","B","B","E","-","-","I","I","A","A","G","B","B","E","I","-","-","-","-","-","-","E"
"S9","A","A","A","A","A","-","-","-","-","G","B","B","E","I","I","A","A","G","-","-","B","B","E","-","-","I","I","A","A","G","B","B","E","-","-","-","-","-","-","-","-"
"S10","A","A","A","A","A","A","A","A","A","G","B","B","E","I","I","A","A","G","-","-","B","B","E","-","-","I","I","A","A","G","B","B","E","I","-","-","-","-","-","-","E"
