"","1","2","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","3","4","5","6","7","I","I","8","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","9","I","10","I","11","12","I","13","14","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","15","16","17","18","19","20","21"
"D1","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","-","-","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","A","B","A","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","B"
"D2","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","B","A","A","B","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","E","A","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","B"
"D3","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","B","-","-","B","A","A","B","A","B","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","E","A","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","B"
"D4","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","-","-","B","A","A","B","A","B","A","B","A","B","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","E","A","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","B"
"D5","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","B","-","-","B","A","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","E","A","B","A","B"
"D6","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","-","-","B","A","A","B","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","E","A","B"
"D7","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","B","-","-","B","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","A","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","B"
"D8","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","B","A","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","B","A","B"
"D9","A","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","B","A","A","B","A","B","A","B","A","B","A","B","A","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","E","A","B","A","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","B","A","E","A","B"
"D10","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","B","B","-","-","B","A","A","B","A","B","A","B","A","B","A","B","A","B","A","E","A","B","A","B","A","B","A","-","-","-","-","-","-","-","-","-","B","A","E","A","B","A","-","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","A","E","A","B","A","B"
