"","1","I","I","I","I","I","2","3","4","I","I","5","6","7","I","I","8","9","10","11","12","13","14","I","15","16","17","I","18","19","20","I","21","I","I","I","I","I","22","23","24","I","25","I","26","I","I","I","I","I","I","27","28","29","30","I","I","31","I","I","I","I","I","I","I","I","32","33","I","I","I","I","I"
"D1","A","-","-","-","-","-","-","-","A","A","-","A","A","A","-","-","J","F","A","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","-","F","F","F","-","B","A","B","B","A","-","-","-","-","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","F","B","A","-","-","-","-"
"D2","A","A","A","A","A","A","B","B","B","A","A","A","A","J","-","-","-","-","-","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","-","F","F","F","-","B","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","B","-","-","-","-"
"D3","A","A","-","-","-","-","A","-","B","B","-","A","A","J","-","-","-","-","-","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","B","A","B","F","F","F","F","-","B","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-"
"D4","A","A","A","A","A","-","B","-","B","B","-","A","A","-","-","-","-","-","-","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","-","-","-","-","F","F","F","-","B","A","B","B","B","A","-","-","-","J","F","G","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D5","A","-","-","-","-","-","A","-","A","A","-","A","A","J","-","-","-","-","-","J","F","G","B","A","B","F","B","A","B","F","-","-","-","-","-","-","-","-","-","F","F","-","B","A","B","B","B","B","A","-","-","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","F","F","B","-","-","-","-"
"D6","A","-","-","-","-","-","-","-","A","A","-","A","A","J","-","-","J","F","A","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","-","-","-","-","F","F","F","-","B","A","B","B","B","A","-","-","-","J","F","G","B","A","B","F","B","A","B","-","-","-","-","-","F","B","A","B","-","-","-"
"D7","A","A","-","-","-","-","B","B","B","A","-","A","A","J","-","-","-","-","-","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","-","-","-","-","F","F","F","-","B","A","B","B","B","A","-","-","-","J","F","G","B","A","B","F","B","A","B","F","B","A","B","F","F","F","B","-","-","-","-"
"D8","A","-","-","-","-","-","A","-","A","A","-","A","A","J","-","-","J","F","A","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","-","-","-","-","F","F","F","-","B","A","B","B","A","A","-","-","-","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","F","F","F","-","-","-","-"
"D9","A","A","A","A","B","-","B","B","B","A","-","A","A","A","-","-","-","-","-","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","-","-","-","-","F","F","F","F","B","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-"
"D10","A","A","A","A","-","-","A","-","A","A","-","A","A","J","-","-","-","-","-","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","-","-","-","-","F","F","F","-","B","A","B","B","B","B","A","-","-","J","F","G","B","A","B","F","B","A","B","F","B","A","B","-","F","B","A","-","-","-","-"
