"","I","I","I","I","I","1","I","2","I","3","5","7","8","9","10","I","11","I","12","13","I","14","I","I","I","I","I","I","I","15","16","I","17","I","18","19","20","I","21","22","I","I","I","I","I","23","I","24","25"
"D1","A","-","-","-","-","A","A","A","A","F","-","F","G","A","F","A","F","A","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","F","A","-","-","-","-","-","-","-","-","-"
"D2","A","-","-","-","-","A","A","A","-","-","-","E","G","A","F","A","F","A","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","-","-","F","A","-","-","-","-","-","-","-","-","-"
"D3","A","-","-","-","-","A","A","A","-","A","-","F","G","A","F","A","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","-","-","F","A","-","-","-","-","-","-","-","-","-"
"D4","A","A","-","-","-","A","A","A","A","A","-","F","G","A","F","A","F","A","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","-","-","F","A","A","A","A","A","-","A","-","-","-"
"D5","A","A","A","-","-","A","A","A","A","A","-","F","G","A","F","A","F","A","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","-","-","F","A","-","-","-","-","-","-","-","-","-"
"D6","A","-","-","-","-","A","A","A","-","A","-","F","G","A","F","A","F","A","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","-","-","F","A","A","A","A","A","A","A","-","-","-"
"D7","A","-","-","-","-","A","A","A","A","A","-","F","G","A","F","A","F","A","F","F","-","F","A","A","A","A","A","A","A","F","G","A","F","A","F","F","-","-","F","A","-","-","-","-","-","-","-","-","-"
"D8","A","-","-","-","-","A","A","A","A","A","-","F","G","A","F","A","F","A","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","-","-","F","A","A","A","-","-","-","A","-","-","-"
"S1","A","-","-","-","-","A","A","A","-","F","-","F","G","A","F","A","F","-","F","F","A","A","A","A","A","A","-","-","-","F","G","A","F","A","F","F","-","-","F","-","-","-","-","-","-","-","-","-","-"
"S2","A","-","-","-","-","A","A","A","A","F","F","F","G","A","F","A","F","-","F","F","A","A","A","A","A","A","-","-","-","F","G","A","F","A","F","F","-","-","F","A","A","A","A","-","-","A","A","F","G"
"S3","A","A","A","-","-","A","A","A","A","F","-","F","G","A","F","A","F","-","F","F","A","A","A","A","A","A","A","-","-","F","G","A","F","A","F","F","-","-","F","A","A","A","A","-","-","A","A","F","G"
"S4","A","-","-","-","-","A","A","A","A","F","-","F","G","A","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","G","A","F","A","F","F","-","-","F","A","A","A","A","-","-","A","A","F","G"
"S5","A","A","A","A","A","A","A","A","A","F","-","F","G","A","F","A","F","-","F","F","A","A","A","A","A","A","-","-","-","F","G","A","F","A","F","F","-","-","F","A","A","-","-","-","-","A","-","-","-"
"S6","A","A","-","-","-","A","A","A","A","A","-","F","G","A","F","A","F","-","F","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","F","-","-","F","A","A","A","A","A","-","A","A","F","G"
"S7","A","A","-","-","-","A","A","A","A","F","-","F","G","A","F","A","F","-","F","F","A","A","A","A","A","A","-","-","-","F","G","A","F","A","F","F","-","-","A","A","A","A","A","-","-","A","A","F","-"
"S8","A","-","-","-","-","A","A","A","A","F","F","F","G","A","F","A","F","-","F","F","A","A","A","A","A","A","A","-","-","F","G","A","F","A","F","F","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S9","A","A","-","-","-","A","A","A","A","F","F","F","G","A","F","A","F","-","F","F","A","A","A","A","A","A","A","-","-","F","G","A","F","A","F","F","-","-","F","A","A","A","A","-","-","A","A","F","G"
"S10","A","-","-","-","-","A","A","A","A","F","-","F","G","A","F","A","F","-","F","F","A","A","A","A","A","A","A","-","-","F","G","A","F","A","F","F","-","-","F","A","A","A","-","-","-","A","A","F","G"
